,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,14.047126,13.35509,13.335734,0.0,0.0,0.0,0.0
1,13.521069,13.440089,13.428186,0.0,0.0,0.0,0.0
2,14.972066,15.871046,15.861619,0.0,0.0,0.0,0.0
3,60.110754,62.460802,5.858848,0.065402,52.641021,0.539383,2.934214
4,16.72903,15.999886,15.989747,0.0,0.0,0.0,0.0
5,57.690547,60.195422,3.867879,0.036228,53.035886,0.243182,2.449332
6,57.475558,59.209509,3.843753,0.037861,52.802552,0.229256,1.892748
7,60.737329,65.32763,6.994239,0.06435,52.064069,1.596347,4.138272
8,60.208526,67.042897,6.449015,0.079258,52.939687,2.020606,4.998018
