,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,14.112698,13.810978,13.78548,0.0,0.0,0.0,0.0
1,13.779499,13.508535,13.499178,0.0,0.0,0.0,0.0
2,15.172718,15.573103,15.565558,0.0,0.0,0.0,0.0
3,60.147213,64.80047,5.841106,0.109914,53.411784,0.987896,3.825899
4,16.840168,16.165794,16.155695,0.0,0.0,0.0,0.0
5,57.507777,60.342615,3.799251,0.074268,52.920321,0.292424,2.639837
6,57.341298,59.870418,3.8851,0.060743,52.705492,0.354589,2.34532
7,60.673351,68.182356,6.826386,0.114453,52.796271,2.492402,5.279502
8,59.773237,72.083256,6.320115,0.135772,52.823902,3.940393,8.134677
