,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,14.661237,14.032348,14.011991,0.0,0.0,0.0,0.0
1,13.490412,13.04297,13.034414,0.0,0.0,0.0,0.0
2,15.892335,16.040961,16.032607,0.0,0.0,0.0,0.0
3,60.178757,61.811507,6.054953,0.033132,52.672351,0.176818,2.556772
4,16.494715,16.550158,16.540219,0.0,0.0,0.0,0.0
5,57.625887,59.093804,3.999984,0.019376,52.724557,0.121626,1.956025
6,57.465698,58.495522,3.878448,0.019696,52.706734,0.133428,1.50618
7,60.780619,62.481992,6.743613,0.027511,52.614042,0.385015,2.3949
8,59.75322,63.023738,6.349441,0.03247,52.960796,0.645349,2.706399
