,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,6.217301,6.229572,6.221358,0.0,0.0,0.0,0.0
1,5.984663,6.124569,6.118136,0.0,0.0,0.0,0.0
2,10.645383,10.886992,10.880771,0.0,0.0,0.0,0.0
3,35.665731,89.281336,28.793237,0.061511,55.19292,0.169183,4.692551
4,10.722156,31.612055,31.592912,0.0,0.0,0.0,0.0
5,75.767733,158.006511,9.699998,0.024175,55.877769,0.340371,86.431347
6,83.830512,224.786905,9.566373,0.023036,54.970018,0.122806,159.811116
7,104.863496,287.880247,26.891517,0.046594,55.219843,0.457003,204.670394
8,89.279558,382.963104,18.388186,0.047319,55.156221,0.593819,308.380326
