,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,7.507635,9.273484,0.0,0.0,0.0,0.0,0.0
1,82.579904,120.480909,0.0,0.05981,60.96665,0.485699,4.784227
2,13.343941,27.639462,0.0,0.0,0.0,0.0,0.0
3,10.323953,23.345604,0.0,0.0,0.0,0.0,0.0
4,25.399613,16.641269,0.0,0.0,0.0,0.0,0.0
5,113.372054,422.797057,0.0,0.15785,82.371295,2.961118,128.047125
6,132.937321,734.526877,0.0,0.12444,68.917993,2.351919,386.81214
7,109.332707,910.682369,0.0,0.11555,68.626054,1.870339,654.925951
8,200.816926,931.471285,0.0,0.10666,72.689861,2.831538,577.953162
9,155.662076,1109.955236,0.0,0.10816,71.498782,3.322087,785.381694
10,229.099477,1035.665986,0.0,0.102759,61.738599,15.907089,838.538758
11,195.072729,1085.295952,0.0,0.12098,70.979422,3.017838,934.732673
12,324.775762,955.21263,0.0,0.10446,61.793529,2.173768,836.11027
13,197.050228,1318.604026,0.0,0.05733,64.158427,1.067849,1167.929517
14,208.193831,1336.217644,0.0,0.05956,61.488188,0.29199,1159.071913
15,204.148993,1491.94874,0.0,0.0598,62.180199,12.830001,1317.227907
16,239.22323,1555.182538,0.0,0.19666,61.646778,4.878917,1386.533231
17,195.634288,1700.59719,0.0,0.11067,61.751498,1.490919,1579.586341
18,314.608079,1745.5088,0.0,0.14363,68.428864,1.945988,1574.972734
19,240.588539,1972.468178,0.0,0.11462,70.906322,0.91408,1818.106991
20,193.246871,2106.467808,0.0,0.09816,74.0618,1.429429,1974.552126
21,191.515801,2119.16063,0.0,0.07526,72.605061,1.485269,1968.217021
