,function_name,LLVM_globalisel_similarity
28,5_function_74,"[['div', 'a1,', 'zero,', 'a1'], ['div', 'a0,', 'zero,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
29,5_function_28,"[['remu', 'a2,', 'a2,', 'a2'], ['and', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
30,3_function_74,"[['divu', 'a0,', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 'a0'], ['ret']]"
31,5_function_35,"[['slt', 'a2,', 'a0,', 'a0'], ['divu', 'a1,', 'a2,', 'a1'], ['div', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['seqz', 'a0,', 'a0'], ['ret']]"
32,4_function_6,"[['andi', 'a0,', 'a0,', '1'], ['bnez', 'a0,', '.LBB0_2'], ['remu', 'a0,', 'a1,', 'a1'], ['ret'], ['andn', 'a0,', 'a1,', 'a2'], ['ret']]"
33,3_function_79,"[['andi', 'a0,', 'a0,', '1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
34,5_function_40,"[['sra', 'a2,', 'a2,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
35,8_function_56,"[['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['remu', 'a2,', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['andi', 'a3,', 'a0,', '1'], ['and', 'a0,', 'a1,', 'a2'], ['bnez', 'a3,', '.LBB0_4'], ['rem', 'a0,', 'zero,', 'a0'], ['ret']]"
36,7_function_45,"[['divu', 'a3,', 'a1,', 'a0'], ['sext.w', 'a3,', 'a3'], ['remu', 'a1,', 'a3,', 'a1'], ['and', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
37,8_function_24,"[['div', 'a1,', 'a0,', 'a1'], ['and', 'a3,', 'a2,', 'a0'], ['divu', 'a2,', 'a2,', 'a3'], ['divu', 'a1,', 'a1,', 'a2'], ['rem', 'a2,', 'a1,', 'a0'], ['rem', 'a0,', 'a2,', 'a0'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
