,function_name,LLVM_globalisel_similarity
117,5_function_77,"[['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['sra', 'a2,', 'a0,', 'a2'], ['srl', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
118,4_function_53,"[['div', 'a1,', 'a1,', 'a0'], ['andi', 'a2,', 'a2,', '1'], ['remu', 'a1,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
119,7_function_34,"[['sra', 'a2,', 'a1,', 'a2'], ['or', 'a3,', 'a0,', 'a2'], ['rem', 'a3,', 'a3,', 'a3'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['rem', 'a0,', 'a2,', 'a1'], ['ret']]"
120,6_function_11,"[['div', 'a1,', 'a2,', 'a2'], ['sra', 'a2,', 'a1,', 'a0'], ['xor', 'a1,', 'a0,', 'a1'], ['xor', 'a1,', 'a1,', 'a2'], ['slt', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
121,4_function_92,"[['sra', 'a0,', 'a0,', 'a1'], ['sltu', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
122,4_function_43,"[['mv', 'a1,', 'a0'], ['divu', 'a0,', 'a0,', 'a0'], ['andi', 'a2,', 'a0,', '1'], ['bnez', 'a2,', '.LBB0_2'], ['mv', 'a0,', 'a1'], ['ret']]"
123,7_function_76,"[['divu', 'a0,', 'a1,', 'a1'], ['sext.w', 'a2,', 'a2'], ['rem', 'a0,', 'a0,', 'a2'], ['ret']]"
124,7_function_86,"[['div', 'a2,', 'a2,', 'a0'], ['sra', 'a0,', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a2,', 'a3'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
125,3_function_43,"[['remu', 'a1,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
126,4_function_68,"[['rem', 'a2,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
127,8_function_75,"[['srl', 'a3,', 'a0,', 'a1'], ['rem', 'a3,', 'a3,', 'a1'], ['xor', 'a3,', 'a2,', 'a3'], ['and', 'a1,', 'a3,', 'a1'], ['sra', 'a0,', 'a2,', 'a0'], ['slt', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
128,8_function_7,"[['andi', 'a4,', 'a1,', '1'], ['srl', 'a1,', 'a2,', 'a3'], ['bnez', 'a4,', '.LBB0_2'], ['slt', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
129,6_function_16,"[['remu', 'a0,', 'a0,', 'a1'], ['slli', 'a1,', 'a0,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a1,', 'a0'], ['ret']]"
130,4_function_96,"[['or', 'a1,', 'a0,', 'a1'], ['slt', 'a0,', 'a0,', 'a1'], ['ret']]"
131,3_function_24,"[['xor', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
132,8_function_74,"[['sext.w', 'a0,', 'a0'], ['srl', 'a2,', 'a1,', 'a0'], ['sra', 'a1,', 'a2,', 'a1'], ['or', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a1,', 'a0'], ['ret']]"
133,8_function_97,"[['rem', 'a0,', 'a0,', 'a0'], ['sext.w', 'a0,', 'a0'], ['div', 'a1,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
134,5_function_49,"[['remu', 'a1,', 'a1,', 'a2'], ['sext.w', 'a0,', 'a0'], ['xor', 'a1,', 'a0,', 'a1'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
135,8_function_6,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['or', 'a2,', 'a2,', 'a0'], ['div', 'a3,', 'a2,', 'a0'], ['rem', 'a2,', 'a3,', 'a2'], ['sext.w', 'a1,', 'a1'], ['and', 'a1,', 'a1,', 'a2'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
136,6_function_28,"[['and', 'a1,', 'a1,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a0'], ['ret']]"
137,6_function_84,"[['remu', 'a1,', 'a1,', 'a0'], ['xor', 'a2,', 'a2,', 'a1'], ['or', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['or', 'a2,', 'a0,', 'a2'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
138,6_function_60,"[['mv', 'a3,', 'a0'], ['mv', 'a0,', 'a1'], ['or', 'a1,', 'a3,', 'a1'], ['div', 'a4,', 'a3,', 'a0'], ['divu', 'a1,', 'a1,', 'a2'], ['sra', 'a2,', 'a4,', 'a0'], ['bltu', 'a1,', 'a2,', '.LBB0_2'], ['mv', 'a0,', 'a3'], ['ret']]"
139,6_function_34,"[['srl', 'a0,', 'a0,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['and', 'a0,', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
140,6_function_30,"[['andi', 'a4,', 'a0,', '1'], ['mv', 'a3,', 'a0'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a1'], ['srl', 'a0,', 'a0,', 'a2'], ['xor', 'a0,', 'a1,', 'a0'], ['and', 'a0,', 'a3,', 'a0'], ['sra', 'a0,', 'a3,', 'a0'], ['ret']]"
141,5_function_59,"[['divu', 'a1,', 'a1,', 'a0'], ['sra', 'a0,', 'a0,', 'a0'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
142,3_function_68,"[['divu', 'a1,', 'a0,', 'a0'], ['remu', 'a0,', 'a1,', 'a0'], ['ret']]"
143,3_function_91,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['rem', 'a0,', 'a0,', 'a2'], ['ret']]"
144,3_function_12,"[['sext.w', 'a0,', 'a0'], ['ret']]"
145,6_function_59,"[['div', 'a1,', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a0'], ['divu', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
146,8_function_58,"[['andi', 'a4,', 'a1,', '1'], ['mv', 'a1,', 'a2'], ['bnez', 'a4,', '.LBB0_2'], ['sext.w', 'a1,', 'a3'], ['divu', 'a3,', 'a0,', 'a1'], ['sra', 'a2,', 'a3,', 'a2'], ['and', 'a1,', 'a1,', 'a2'], ['slt', 'a1,', 'a1,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['slt', 'a0,', 'a1,', 'a0'], ['ret']]"
147,8_function_99,"[['bge', 'a0,', 'a1,', '.LBB0_2'], ['mv', 'a0,', 'a2'], ['rem', 'a1,', 'a2,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
148,5_function_14,"[['remu', 'a1,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['remu', 'a0,', 'a1,', 'a0'], ['srl', 'a1,', 'a2,', 'a0'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
149,3_function_14,"[['xor', 'a1,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
150,3_function_94,"[['andi', 'a1,', 'a1,', '1'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
151,5_function_50,"[['sra', 'a0,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a0'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
152,5_function_88,"[['sext.w', 'a0,', 'zero'], ['ret']]"
153,3_function_64,"[['remw', 'a0,', 'a0,', 'a0'], ['ret']]"
154,4_function_99,"[['andi', 'a2,', 'a0,', '1'], ['bnez', 'a2,', '.LBB0_2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
155,5_function_30,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a0'], ['xor', 'a0,', 'a0,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
156,7_function_33,"[['sext.w', 'a2,', 'a2'], ['xor', 'a1,', 'a1,', 'a2'], ['snez', 'a0,', 'a1'], ['ret']]"
157,3_function_41,"[['remu', 'a1,', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
158,6_function_49,"[['div', 'a0,', 'a0,', 'a2'], ['sext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a2'], ['ret']]"
159,6_function_1,"[['sra', 'a3,', 'a1,', 'a0'], ['div', 'a3,', 'a3,', 'a2'], ['div', 'a1,', 'a2,', 'a1'], ['div', 'a1,', 'a3,', 'a1'], ['slt', 'a0,', 'a0,', 'a1'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
160,5_function_24,"[['remu', 'a2,', 'a1,', 'a0'], ['rem', 'a1,', 'a2,', 'a1'], ['or', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
161,6_function_31,"[['mv', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['div', 'a3,', 'a0,', 'a1'], ['and', 'a2,', 'a2,', 'a3'], ['remu', 'a2,', 'a0,', 'a2'], ['andi', 'a2,', 'a2,', '1'], ['bnez', 'a2,', '.LBB0_2'], ['mv', 'a0,', 'a1'], ['ret']]"
162,3_function_44,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
163,5_function_90,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a1,', 'a1,', 'a0'], ['zext.w', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
164,3_function_49,"[['sra', 'a0,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['ret']]"
165,8_function_57,"[['remu', 'a3,', 'a1,', 'a1'], ['sext.w', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a3'], ['sltu', 'a1,', 'a0,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['rem', 'a1,', 'a2,', 'a3'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
166,5_function_4,"[['andi', 'a1,', 'a1,', '1'], ['and', 'a2,', 'a2,', 'a0'], ['beqz', 'a1,', '.LBB0_2'], ['sra', 'a2,', 'a2,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
167,6_function_3,"[['sext.w', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['rem', 'a0,', 'a2,', 'a0'], ['divu', 'a0,', 'a2,', 'a0'], ['ret']]"
168,5_function_85,"[['rem', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a0,', 'a2'], ['snez', 'a1,', 'a2'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
169,5_function_78,"[['rem', 'a1,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['sltu', 'a0,', 'a2,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
170,4_function_90,"[['srl', 'a1,', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
171,4_function_51,"[['divu', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a1,', 'a0'], ['divu', 'a0,', 'a0,', 'a2'], ['ret']]"
172,7_function_20,"[['divu', 'a3,', 'a0,', 'a1'], ['mv', 'a4,', 'a0'], ['bgeu', 'a3,', 'a1,', '.LBB0_2'], ['mv', 'a4,', 'a2'], ['slli', 'a4,', 'a4,', '63'], ['srai', 'a4,', 'a4,', '63'], ['remu', 'a0,', 'a4,', 'a0'], ['sltu', 'a0,', 'a0,', 'a3'], ['ret']]"
173,8_function_1,"[['div', 'a3,', 'a0,', 'a1'], ['divu', 'a2,', 'a3,', 'a2'], ['and', 'a2,', 'a0,', 'a2'], ['divu', 'a3,', 'a3,', 'a2'], ['sra', 'a1,', 'a1,', 'a0'], ['xor', 'a1,', 'a3,', 'a1'], ['divu', 'a0,', 'a1,', 'a0'], ['sltu', 'a0,', 'a0,', 'a2'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
174,7_function_82,"[['remw', 'a1,', 'a0,', 'a0'], ['srl', 'a0,', 'a1,', 'a0'], ['ret']]"
175,8_function_44,"[['divu', 'a2,', 'a0,', 'a2'], ['andi', 'a4,', 'a3,', '1'], ['mv', 'a3,', 'a0'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a1'], ['divu', 'a3,', 'a2,', 'a3'], ['divu', 'a2,', 'a2,', 'a3'], ['xor', 'a1,', 'a1,', 'a3'], ['xor', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
176,4_function_35,[['ret']]
177,3_function_9,"[['divu', 'a1,', 'a0,', 'a1'], ['srl', 'a1,', 'a0,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
178,3_function_36,"[['remu', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
179,6_function_57,"[['andi', 'a0,', 'a0,', '1'], ['remu', 'a2,', 'a0,', 'a2'], ['and', 'a1,', 'a1,', 'a2'], ['mv', 'a2,', 'a1'], ['bnez', 'a0,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
180,4_function_65,"[['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
181,5_function_58,"[['div', 'a3,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['remu', 'a0,', 'a0,', 'a2'], ['or', 'a2,', 'a3,', 'a2'], ['or', 'a0,', 'a2,', 'a0'], ['ret']]"
182,4_function_12,"[['sra', 'a1,', 'a1,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
183,3_function_6,"[['remu', 'a0,', 'a0,', 'a1'], ['or', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a1,', 'a0'], ['ret']]"
184,5_function_15,"[['rem', 'a1,', 'a0,', 'a0'], ['div', 'a1,', 'a0,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
185,8_function_47,"[['sext.w', 'a1,', 'a1'], ['and', 'a1,', 'a0,', 'a1'], ['div', 'a3,', 'a1,', 'a1'], ['rem', 'a2,', 'a2,', 'a3'], ['and', 'a0,', 'a0,', 'a3'], ['sra', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
186,7_function_93,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['divu', 'a2,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a2'], ['zext.w', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
187,4_function_38,"[['or', 'a0,', 'a0,', 'a1'], ['ret']]"
188,5_function_26,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['and', 'a2,', 'a0,', 'a2'], ['remu', 'a1,', 'a0,', 'a2'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
189,5_function_94,"[['sltu', 'a3,', 'a0,', 'a0'], ['xori', 'a3,', 'a3,', '1'], ['slli', 'a3,', 'a3,', '63'], ['andi', 'a4,', 'a1,', '1'], ['srai', 'a1,', 'a3,', '63'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['sra', 'a0,', 'a1,', 'a2'], ['ret']]"
190,4_function_56,"[['sext.w', 'a0,', 'a0'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
191,7_function_75,"[['sext.w', 'a3,', 'a1'], ['or', 'a2,', 'a3,', 'a2'], ['div', 'a3,', 'a2,', 'a2'], ['rem', 'a0,', 'a0,', 'a2'], ['zext.w', 'a1,', 'a1'], ['and', 'a1,', 'a1,', 'a3'], ['slt', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
192,3_function_83,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a1,', 'a0,', 'a1'], ['slt', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
193,8_function_94,"[['div', 'a3,', 'a1,', 'a2'], ['div', 'a3,', 'a3,', 'a2'], ['sra', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a0'], ['xor', 'a2,', 'a2,', 'a3'], ['sltu', 'a0,', 'a0,', 'a2'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
194,3_function_42,"[['remu', 'a0,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
195,4_function_48,"[['zext.w', 'a0,', 'a0'], ['divu', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
196,4_function_14,"[['sra', 'a2,', 'a1,', 'a1'], ['remu', 'a1,', 'a1,', 'a2'], ['sext.w', 'a0,', 'a0'], ['sltu', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
197,5_function_87,"[['srl', 'a0,', 'a0,', 'a0'], ['sext.w', 'a0,', 'a0'], ['ret']]"
198,3_function_54,"[['divu', 'a0,', 'a0,', 'a2'], ['ret']]"
199,6_function_93,"[['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a2'], ['sext.w', 'a0,', 'a0'], ['ret']]"
200,3_function_10,"[['rem', 'a1,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
201,7_function_64,"[['rem', 'a3,', 'a0,', 'a0'], ['blt', 'a0,', 'a3,', '.LBB0_2'], ['srl', 'a0,', 'a1,', 'a2'], ['ret'], ['slli', 'a0,', 'a1,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
202,4_function_91,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a0'], ['ret']]"
203,3_function_48,"[['remu', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['ret']]"
204,8_function_81,"[['andi', 'a1,', 'a1,', '1'], ['remu', 'a1,', 'a1,', 'a1'], ['srl', 'a0,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
205,4_function_30,"[['bgeu', 'a0,', 'a0,', '.LBB0_2'], ['divu', 'a0,', 'a1,', 'a2'], ['ret']]"
206,4_function_97,"[['div', 'a0,', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
207,6_function_77,"[['sra', 'a1,', 'a1,', 'a2'], ['sext.w', 'a3,', 'a3'], ['srl', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a3,', 'a0'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
208,4_function_34,"[['div', 'a0,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
209,3_function_81,"[['div', 'a1,', 'a1,', 'a2'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
210,3_function_76,"[['rem', 'a1,', 'a1,', 'a0'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
211,7_function_10,"[['sext.w', 'a1,', 'a1'], ['remu', 'a1,', 'a1,', 'a1'], ['rem', 'a1,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
212,8_function_63,"[['sltu', 'a3,', 'a2,', 'a2'], ['xori', 'a3,', 'a3,', '1'], ['and', 'a1,', 'a1,', 'a3'], ['div', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a3'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
213,4_function_19,"[['and', 'a1,', 'a0,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
214,4_function_3,"[['zext.w', 'a0,', 'a0'], ['xor', 'a1,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
215,8_function_65,"[['slli', 'a2,', 'a0,', '63'], ['srai', 'a2,', 'a2,', '63'], ['remw', 'a2,', 'a2,', 'a2'], ['andi', 'a0,', 'a0,', '1'], ['rem', 'a2,', 'a0,', 'a2'], ['remu', 'a1,', 'a1,', 'a2'], ['divu', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
216,7_function_27,"[['rem', 'a3,', 'a0,', 'a1'], ['blt', 'a3,', 'a0,', '.LBB0_2'], ['sra', 'a1,', 'a3,', 'a3'], ['rem', 'a0,', 'a0,', 'a1'], ['ret'], ['and', 'a1,', 'a2,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
217,3_function_84,"[['sra', 'a1,', 'a0,', 'a0'], ['rem', 'a0,', 'a1,', 'a0'], ['ret']]"
218,8_function_43,"[['andi', 'a3,', 'a0,', '1'], ['sra', 'a0,', 'a1,', 'a2'], ['bnez', 'a3,', '.LBB0_2'], ['div', 'a1,', 'a0,', 'a0'], ['div', 'a2,', 'a1,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a2,', 'a0'], ['ret']]"
219,4_function_63,"[['divu', 'a0,', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a0'], ['zext.w', 'a0,', 'a0'], ['ret']]"
220,3_function_52,"[['zext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
221,3_function_60,"[['divu', 'a1,', 'a1,', 'a2'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
222,5_function_1,"[['srl', 'a0,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
223,3_function_25,"[['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
224,4_function_46,"[['li', 'a0,', '0'], ['ret']]"
225,8_function_68,"[['andi', 'a1,', 'a1,', '1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['and', 'a2,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a2'], ['divu', 'a1,', 'a0,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
226,6_function_33,"[['zext.w', 'a0,', 'a0'], ['slt', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
227,8_function_16,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['rem', 'a1,', 'a0,', 'a1'], ['remu', 'a1,', 'a0,', 'a1'], ['zext.w', 'a1,', 'a1'], ['divu', 'a0,', 'a1,', 'a0'], ['remu', 'a0,', 'a0,', 'a2'], ['ret']]"
228,6_function_71,"[['sra', 'a1,', 'a1,', 'a2'], ['and', 'a3,', 'a0,', 'a1'], ['srl', 'a1,', 'a3,', 'a1'], ['xor', 'a0,', 'a2,', 'a0'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
229,8_function_88,"[['sltu', 'a3,', 'a0,', 'a0'], ['or', 'a3,', 'a0,', 'a3'], ['sra', 'a3,', 'a3,', 'a1'], ['divu', 'a1,', 'a3,', 'a1'], ['div', 'a2,', 'a1,', 'a2'], ['div', 'a0,', 'a2,', 'a0'], ['slt', 'a0,', 'a1,', 'a0'], ['ret']]"
230,5_function_56,"[['rem', 'a2,', 'a0,', 'a0'], ['divu', 'a2,', 'a2,', 'a2'], ['andi', 'a2,', 'a2,', '1'], ['bnez', 'a2,', '.LBB0_2'], ['mv', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
231,8_function_92,"[['remu', 'a2,', 'a1,', 'a2'], ['divu', 'a1,', 'a1,', 'a2'], ['div', 'a2,', 'a2,', 'a1'], ['divu', 'a0,', 'a0,', 'a2'], ['sltu', 'a0,', 'a1,', 'a0'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['rem', 'a1,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
232,8_function_13,"[['andi', 'a2,', 'a2,', '1'], ['or', 'a3,', 'a1,', 'a2'], ['remu', 'a3,', 'a1,', 'a3'], ['remu', 'a3,', 'a3,', 'a1'], ['rem', 'a1,', 'a1,', 'a3'], ['div', 'a0,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a2'], ['ret']]"
233,4_function_67,"[['or', 'a1,', 'a1,', 'a0'], ['or', 'a1,', 'a1,', 'a2'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
234,8_function_54,"[['remu', 'a3,', 'a0,', 'a0'], ['andi', 'a4,', 'a1,', '1'], ['xor', 'a0,', 'a0,', 'a3'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['bltu', 'a0,', 'a0,', '.LBB0_3'], ['j', '.LBB0_4'], ['div', 'a1,', 'a2,', 'a1'], ['bgeu', 'a0,', 'a0,', '.LBB0_4'], ['mv', 'a3,', 'a1'], ['sltu', 'a0,', 'a2,', 'a3'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
235,8_function_98,"[['divu', 'a2,', 'a0,', 'a2'], ['divu', 'a3,', 'a2,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['remw', 'a1,', 'a1,', 'a1'], ['divu', 'a2,', 'a3,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a2'], ['ret']]"
236,3_function_27,"[['sext.w', 'a0,', 'a0'], ['ret']]"
237,8_function_95,"[['zext.w', 'a3,', 'a3'], ['rem', 'a2,', 'a2,', 'a3'], ['div', 'a3,', 'a0,', 'a3'], ['or', 'a2,', 'a1,', 'a2'], ['div', 'a2,', 'a2,', 'a3'], ['remu', 'a1,', 'a2,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
