,function_name,LLVM_selectiondag_similarity
32,7_function_24,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a0,', 'a0,', 'a1'], ['sltu', 'a1,', 'a2,', 'a0'], ['sra', 'a3,', 'a2,', 'a0'], ['neg', 'a1,', 'a1'], ['and', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a3,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
33,4_function_74,"[['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
34,7_function_50,"[['andi', 'a3,', 'a0,', '1'], ['beqz', 'a3,', '.LBB0_2'], ['rem', 'a2,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['ret']]"
35,3_function_95,"[['li', 'a0,', '0'], ['ret']]"
36,5_function_64,"[['sext.w', 'a1,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['rem', 'a0,', 'a0,', 'a2'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a2,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['snez', 'a0,', 'a0'], ['ret']]"
37,3_function_43,"[['snez', 'a0,', 'a0'], ['ret']]"
38,5_function_21,"[['slli', 'a3,', 'a3,', '63'], ['srai', 'a3,', 'a3,', '63'], ['or', 'a2,', 'a2,', 'a3'], ['remu', 'a2,', 'a0,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['slt', 'a0,', 'a2,', 'a0'], ['ret']]"
39,8_function_37,"[['and', 'a1,', 'a0,', 'a1'], ['andi', 'a2,', 'a2,', '1'], ['rem', 'a1,', 'a1,', 'a2'], ['div', 'a1,', 'a0,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['zext.w', 'a0,', 'a0'], ['ret']]"
40,4_function_76,"[['xor', 'a2,', 'a0,', 'a2'], ['div', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
41,6_function_97,"[['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
42,5_function_12,"[['andi', 'a0,', 'a0,', '1'], ['bnez', 'a0,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['and', 'a1,', 'a1,', 'a2'], ['neg', 'a0,', 'a0'], ['divu', 'a0,', 'a1,', 'a0'], ['ret']]"
43,7_function_51,"[['andi', 'a1,', 'a1,', '1'], ['and', 'a2,', 'a0,', 'a2'], ['xor', 'a1,', 'a1,', 'a2'], ['sra', 'a1,', 'a0,', 'a1'], ['remu', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
44,7_function_95,"[['slli', 'a3,', 'a0,', '63'], ['srai', 'a3,', 'a3,', '63'], ['divu', 'a0,', 'a0,', 'a3'], ['bltu', 'a2,', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
45,5_function_38,"[['sra', 'a1,', 'a0,', 'a1'], ['xor', 'a3,', 'a0,', 'a1'], ['blt', 'a3,', 'a2,', '.LBB0_2'], ['srl', 'a0,', 'a1,', 'a2'], ['ret']]"
