,Unnamed: 0,function_name,LEANMLIR_opt_tot_uops,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,instructions_number,diff,diff_class
576,576,6_function_25,9,9,9,6,1.0,1x
577,577,7_function_76,5,4,3,7,1.6666666666666667,1.5x-2x
578,578,6_function_38,7,6,6,6,1.1666666666666667,1x-1.5x
579,579,4_function_54,6,5,2,4,3.0,>2x
580,580,8_function_92,10,10,9,8,1.1111111111111112,1x-1.5x
581,581,7_function_29,8,7,7,7,1.1428571428571428,1x-1.5x
582,582,3_function_13,5,5,5,3,1.0,1x
583,583,3_function_7,6,5,5,3,1.2,1x-1.5x
584,584,6_function_19,7,6,6,6,1.1666666666666667,1x-1.5x
585,585,4_function_97,4,4,4,4,1.0,1x
586,586,6_function_48,12,10,10,6,1.2,1x-1.5x
587,587,4_function_10,1,1,1,4,1.0,1x
588,588,5_function_67,5,5,5,5,1.0,1x
589,589,8_function_51,8,7,1,8,8.0,>2x
590,590,6_function_27,9,7,7,6,1.2857142857142858,1x-1.5x
591,591,6_function_43,9,8,8,6,1.125,1x-1.5x
592,592,5_function_8,7,5,4,5,1.75,1.5x-2x
593,593,6_function_6,7,7,7,6,1.0,1x
594,594,6_function_18,11,10,10,6,1.1,1x-1.5x
595,595,7_function_62,15,13,6,7,2.5,>2x
596,596,7_function_44,7,5,2,7,3.5,>2x
