,function_name,LEANMLIR_opt_tot_instructions,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,instructions_number
196,8_function_22,17,14,6,8
197,4_function_56,3,3,3,4
198,7_function_2,7,7,7,7
199,6_function_23,7,6,6,6
200,7_function_17,7,5,5,7
201,7_function_25,9,7,7,7
202,5_function_78,7,5,5,5
203,3_function_90,8,4,4,3
204,4_function_67,4,4,4,4
205,5_function_40,7,7,7,5
206,6_function_76,10,9,9,6
207,3_function_0,1,1,1,3
208,5_function_80,4,4,4,5
209,6_function_85,12,10,8,6
210,6_function_49,5,4,4,6
211,5_function_71,3,4,3,5
212,7_function_71,9,8,8,7
213,7_function_32,7,6,6,7
214,4_function_82,9,8,5,4
215,6_function_39,7,6,6,6
216,3_function_59,5,2,2,3
217,3_function_89,6,5,2,3
218,5_function_24,5,5,5,5
219,3_function_62,3,3,2,3
220,8_function_93,9,8,2,8
221,3_function_23,7,5,2,3
222,7_function_67,9,7,5,7
223,6_function_98,9,7,6,6
224,5_function_20,8,7,7,5
225,7_function_81,9,9,1,7
226,3_function_33,8,7,6,3
227,7_function_21,8,7,7,7
228,4_function_29,4,4,4,4
229,7_function_73,15,11,12,7
230,5_function_2,4,3,3,5
231,6_function_92,5,5,5,6
232,8_function_76,9,9,9,8
233,7_function_37,8,7,7,7
234,6_function_16,7,5,4,6
235,4_function_86,7,6,6,4
236,8_function_9,8,2,2,8
237,8_function_28,7,6,4,8
238,3_function_70,3,3,3,3
239,8_function_52,7,6,5,8
240,8_function_60,13,9,6,8
241,8_function_70,11,10,2,8
242,5_function_72,6,6,2,5
243,7_function_18,6,6,5,7
244,8_function_87,9,9,7,8
245,3_function_86,1,2,1,3
246,8_function_42,9,8,8,8
247,3_function_68,4,3,3,3
248,6_function_60,11,9,8,6
249,6_function_31,10,9,9,6
250,6_function_84,7,7,7,6
251,5_function_53,7,7,7,5
252,3_function_36,4,4,4,3
253,6_function_79,7,6,2,6
254,6_function_42,7,6,2,6
255,6_function_9,5,3,2,6
256,8_function_26,10,9,9,8
257,7_function_56,9,8,7,7
258,5_function_46,5,5,2,5
259,3_function_14,3,3,3,3
260,7_function_35,7,6,6,7
261,4_function_52,8,6,6,4
262,3_function_40,5,3,3,3
263,6_function_55,11,9,9,6
264,6_function_37,12,10,9,6
265,6_function_30,10,9,9,6
266,4_function_71,3,3,1,4
267,5_function_52,8,7,6,5
268,5_function_63,7,6,6,5
269,8_function_72,9,8,8,8
270,5_function_99,5,5,5,5
271,7_function_58,12,7,7,7
272,7_function_39,8,6,6,7
273,6_function_68,7,2,2,6
274,8_function_80,12,9,5,8
275,3_function_66,4,4,4,3
276,5_function_18,6,5,5,5
277,8_function_16,9,8,8,8
278,3_function_98,4,4,4,3
279,4_function_99,5,7,6,4
280,3_function_8,5,4,4,3
281,5_function_33,3,3,3,5
282,6_function_87,12,12,6,6
283,8_function_79,9,9,2,8
284,4_function_42,8,7,7,4
285,5_function_4,8,6,7,5
286,5_function_17,6,5,2,5
287,4_function_5,8,5,5,4
288,6_function_64,4,2,2,6
289,6_function_72,4,1,1,6
290,8_function_25,10,8,7,8
291,7_function_91,10,9,7,7
292,5_function_39,3,2,3,5
293,8_function_8,9,9,9,8
294,4_function_78,5,4,4,4
295,3_function_74,3,3,2,3
296,3_function_17,3,3,3,3
297,4_function_44,9,7,7,4
298,3_function_16,3,2,2,3
299,8_function_32,12,10,2,8
300,5_function_66,5,5,5,5
301,8_function_74,7,6,6,8
302,4_function_6,9,6,6,4
303,5_function_84,6,6,6,5
304,8_function_95,8,8,8,8
305,4_function_83,5,5,5,4
