,function_name,LEANMLIR_opt_tot_cycles
294,4_function_78,7003
295,3_function_74,6901
296,3_function_17,204
297,4_function_44,803
298,3_function_16,302
299,8_function_32,27801
300,5_function_66,7103
301,8_function_74,604
302,4_function_6,7354
303,5_function_84,7004
304,8_function_95,26803
305,4_function_83,7103
306,7_function_15,13604
307,6_function_96,7404
308,4_function_19,7003
309,6_function_17,20803
310,3_function_80,103
311,6_function_81,14104
312,4_function_14,7203
313,6_function_54,604
314,5_function_25,7203
315,3_function_50,703
316,8_function_36,20503
317,3_function_4,104
318,3_function_41,6901
319,5_function_16,26803
320,7_function_70,8253
321,4_function_57,803
322,8_function_31,13902
323,7_function_74,14801
324,5_function_55,13501
325,6_function_82,20501
326,6_function_14,204
327,3_function_24,204
328,6_function_0,7204
329,5_function_29,6604
330,6_function_71,7203
331,4_function_2,7001
332,8_function_49,1002
333,8_function_75,7404
334,6_function_67,7303
335,8_function_18,13804
336,8_function_91,1504
337,3_function_93,304
338,5_function_62,13601
339,5_function_60,7403
340,3_function_88,404
341,8_function_10,14102
342,3_function_3,304
343,8_function_54,15001
344,3_function_10,6901
345,3_function_77,6901
346,5_function_13,6604
347,3_function_22,204
348,3_function_37,6901
349,4_function_26,7653
350,4_function_65,104
351,8_function_19,14102
352,3_function_72,104
353,6_function_32,13701
354,5_function_5,404
355,4_function_87,7103
356,3_function_87,7403
357,7_function_72,304
358,7_function_86,7103
359,7_function_6,21001
360,6_function_90,7502
361,7_function_97,1303
362,8_function_43,20704
363,8_function_66,20701
364,7_function_78,7803
365,5_function_3,6901
366,4_function_27,6901
367,3_function_84,7003
368,5_function_81,703
369,7_function_80,1353
370,8_function_94,13802
371,3_function_63,6703
372,7_function_43,803
373,7_function_53,7803
374,7_function_5,20703
375,4_function_9,304
376,4_function_58,7001
377,3_function_54,6604
378,7_function_30,20702
379,3_function_2,704
380,8_function_17,20703
381,6_function_47,904
382,4_function_37,13402
383,4_function_32,404
384,8_function_89,7254
385,3_function_27,104
386,4_function_60,6803
387,4_function_8,304
388,5_function_14,27001
389,5_function_56,14001
390,8_function_27,7804
391,3_function_5,204
392,5_function_87,204
393,8_function_85,7201
394,3_function_21,103
395,6_function_36,704
396,4_function_48,7003
397,4_function_66,7253
398,4_function_31,104
399,7_function_26,13603
400,5_function_30,7103
401,5_function_79,7102
402,7_function_87,753
403,8_function_5,14502
404,8_function_61,7501
405,3_function_42,13201
406,6_function_35,13902
407,8_function_2,7103
408,7_function_38,14003
409,6_function_57,7903
410,5_function_75,204
411,8_function_63,13604
412,8_function_82,14001
413,5_function_35,13803
414,5_function_36,404
415,7_function_55,13801
416,5_function_45,6901
417,5_function_89,104
418,4_function_41,13201
419,6_function_58,13601
420,6_function_51,7803
421,8_function_47,20402
422,6_function_86,7304
423,3_function_73,204
424,5_function_97,13303
425,7_function_22,7401
426,6_function_88,7302
427,6_function_3,13603
428,7_function_45,13901
429,4_function_45,13804
430,6_function_53,7203
431,3_function_79,204
432,8_function_45,7901
433,5_function_41,404
434,4_function_80,19802
435,7_function_7,14001
436,8_function_7,7703
437,5_function_6,302
438,4_function_39,19804
439,5_function_96,6802
440,7_function_49,26701
441,6_function_73,20101
442,3_function_28,6601
443,7_function_41,8904
444,7_function_79,19801
445,6_function_80,20103
446,7_function_31,7101
447,3_function_76,13201
448,6_function_8,26704
449,3_function_57,13501
450,6_function_66,1003
451,4_function_92,404
452,4_function_46,302
453,7_function_0,7204
454,8_function_23,20804
455,6_function_50,26304
456,8_function_35,13702
457,4_function_88,7402
458,4_function_18,6704
459,4_function_35,404
460,8_function_20,20501
461,8_function_50,14403
462,4_function_30,7304
463,6_function_94,804
464,3_function_6,7002
465,5_function_7,7102
466,7_function_52,20401
467,3_function_29,302
468,5_function_93,7003
469,7_function_68,404
470,7_function_64,7601
471,5_function_73,404
472,3_function_71,504
473,6_function_33,7201
474,8_function_3,20404
475,4_function_85,7303
476,5_function_59,7103
477,3_function_20,13601
478,6_function_11,7404
479,5_function_42,14302
480,3_function_99,6901
481,4_function_77,304
482,3_function_75,6703
