,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number
174,5_function_58,13702,13501,13501,5
175,8_function_84,7703,7401,7201,8
176,7_function_82,7104,3501,104,7
177,6_function_40,13901,13901,103,6
178,7_function_89,1053,553,504,7
179,3_function_49,204,204,204,3
180,6_function_59,20203,19801,19801,6
181,8_function_86,8204,7753,7703,8
182,6_function_61,7404,7004,7004,6
183,5_function_44,204,204,104,5
184,3_function_65,6901,6901,6901,3
185,7_function_92,20401,20101,20101,7
186,8_function_81,13601,13204,103,8
187,8_function_64,302,104,104,8
188,8_function_71,20602,20303,20303,8
189,8_function_13,26903,26903,26903,8
190,8_function_68,13903,13803,13803,8
191,4_function_11,304,304,304,4
192,7_function_99,7101,7203,7101,7
193,6_function_1,20304,20304,20203,6
194,7_function_94,7201,7102,104,7
195,4_function_23,7501,7101,103,4
196,8_function_22,8501,7403,304,8
197,4_function_56,6901,6901,6901,4
198,7_function_2,20203,20203,20203,7
199,6_function_23,13902,13801,13801,6
200,7_function_17,13801,13501,13501,7
201,7_function_25,7304,7104,7104,7
202,5_function_78,7203,7002,7002,5
203,3_function_90,804,204,204,3
204,4_function_67,7001,7001,7001,4
205,5_function_40,7304,7304,7304,5
206,6_function_76,14101,14002,14002,6
207,3_function_0,103,103,103,3
208,5_function_80,13501,13501,13501,5
209,6_function_85,7903,7401,7201,6
210,6_function_49,13504,13501,13501,6
211,5_function_71,6901,7003,6901,5
212,7_function_71,26903,26803,26803,7
213,7_function_32,7302,7201,7201,7
214,4_function_82,14103,13703,304,4
215,6_function_39,13803,13602,13602,6
216,3_function_59,404,104,104,3
217,3_function_89,7301,7002,104,3
218,5_function_24,13601,13601,13601,5
219,3_function_62,6901,6901,104,3
220,8_function_93,14103,13903,104,8
221,3_function_23,7403,7001,104,3
222,7_function_67,704,553,353,7
223,6_function_98,853,404,403,6
224,5_function_20,903,504,504,5
225,7_function_81,14102,13803,103,7
226,3_function_33,804,404,403,3
227,7_function_21,604,404,404,7
228,4_function_29,19801,19801,19801,4
229,7_function_73,8304,7453,7703,7
230,5_function_2,7003,6703,6703,5
231,6_function_92,13501,13203,13203,6
232,8_function_76,33302,32904,32904,8
233,7_function_37,20402,19903,19903,7
234,6_function_16,7302,7102,7001,6
235,4_function_86,7403,7103,7103,4
236,8_function_9,20402,104,104,8
237,8_function_28,13704,13603,7003,8
238,3_function_70,204,204,204,3
239,8_function_52,20401,20001,13402,8
240,8_function_60,7602,7201,304,8
241,8_function_70,20802,20502,104,8
242,5_function_72,13603,13603,104,5
243,7_function_18,13703,13703,7104,7
244,8_function_87,33501,32803,19903,8
245,3_function_86,103,104,103,3
246,8_function_42,7503,7101,7101,8
247,3_function_68,13501,13201,6604,3
248,6_function_60,14204,13603,13502,6
249,6_function_31,14403,14103,14103,6
250,6_function_84,7302,7302,7201,6
251,5_function_53,20001,20001,20001,5
252,3_function_36,7001,7001,7001,3
253,6_function_79,13602,13403,104,6
254,6_function_42,14001,13601,104,6
255,6_function_9,404,204,104,6
256,8_function_26,7803,7404,7404,8
