,function_name,LLVM_globalisel_tot_cycles
379,4_function_58,7001
380,3_function_54,6601
381,7_function_30,19902
382,3_function_2,404
383,8_function_17,20203
384,6_function_47,404
385,4_function_37,13402
386,4_function_32,304
387,8_function_89,7104
388,3_function_27,104
389,4_function_60,6704
390,4_function_8,204
391,5_function_14,26701
392,5_function_56,13701
393,8_function_27,7103
394,3_function_5,204
395,5_function_87,204
396,8_function_85,7001
397,3_function_21,103
398,6_function_36,704
399,4_function_48,7003
400,4_function_66,7203
401,4_function_31,204
402,7_function_26,13603
403,5_function_30,7103
404,5_function_79,7102
405,7_function_87,703
406,8_function_5,14001
407,8_function_61,7301
408,3_function_42,13201
409,6_function_35,13601
410,8_function_2,7103
411,7_function_38,13904
412,6_function_57,7504
413,5_function_75,104
414,8_function_63,13404
415,8_function_82,13801
416,5_function_35,13703
417,5_function_36,404
418,7_function_55,13504
419,5_function_45,6901
420,5_function_89,104
421,4_function_41,13201
422,6_function_58,13601
423,6_function_51,7304
424,8_function_47,20402
425,6_function_86,7204
426,3_function_73,204
427,5_function_97,13102
428,7_function_22,7301
429,6_function_88,7302
430,6_function_3,13501
431,7_function_45,13901
432,4_function_45,13703
433,6_function_53,7101
434,3_function_79,204
435,8_function_45,7301
436,5_function_41,404
437,4_function_80,19702
438,7_function_7,13704
439,8_function_7,7202
440,5_function_6,104
441,4_function_39,19702
442,5_function_96,6601
443,7_function_49,26601
444,6_function_73,20101
445,3_function_28,6601
446,7_function_41,13904
447,7_function_79,20101
448,6_function_80,19803
449,7_function_31,7101
450,3_function_76,13201
451,6_function_8,26602
452,3_function_57,13501
453,6_function_66,403
454,4_function_92,304
455,4_function_46,104
456,7_function_0,7003
457,8_function_23,20003
458,6_function_50,26204
459,8_function_35,13501
460,4_function_88,7001
461,4_function_18,6604
462,4_function_35,103
463,8_function_20,20501
464,8_function_50,14104
465,4_function_30,6701
466,6_function_94,604
467,3_function_6,6901
468,5_function_7,7001
469,7_function_52,20401
470,3_function_29,104
471,5_function_93,7003
472,7_function_68,304
473,7_function_64,7101
474,5_function_73,304
475,3_function_71,504
476,6_function_33,7101
477,8_function_3,20201
478,4_function_85,6901
479,5_function_59,6901
480,3_function_20,13501
481,6_function_11,7003
482,5_function_42,13803
483,3_function_99,6901
484,4_function_77,304
485,3_function_75,6703
486,7_function_63,6902
487,8_function_6,20601
488,5_function_28,6802
489,3_function_91,6902
490,4_function_36,6902
491,3_function_18,7001
492,8_function_29,20001
493,6_function_20,13501
494,4_function_47,19901
495,4_function_79,104
496,3_function_15,103
497,4_function_20,7003
498,4_function_17,404
499,8_function_24,39601
500,4_function_40,7102
501,5_function_51,6802
502,3_function_96,204
503,8_function_30,7404
504,8_function_98,23501
505,3_function_35,6901
506,7_function_13,13304
507,8_function_78,404
508,8_function_62,13704
509,8_function_73,20801
510,3_function_47,6601
511,4_function_4,6601
512,3_function_85,7104
513,4_function_55,6604
514,7_function_93,7304
515,4_function_25,304
516,3_function_92,6901
517,5_function_92,6802
518,7_function_54,20104
519,7_function_85,13501
520,5_function_27,13304
521,8_function_83,26502
522,8_function_34,20402
523,5_function_47,103
524,5_function_95,6901
525,4_function_12,404
526,6_function_5,13403
527,3_function_60,6703
528,6_function_7,404
529,7_function_1,504
530,3_function_83,504
531,5_function_11,204
532,7_function_42,13601
533,7_function_28,14001
534,5_function_65,6901
535,3_function_45,6601
536,6_function_83,26601
537,5_function_83,304
538,4_function_95,6703
539,4_function_1,204
540,5_function_43,104
541,3_function_78,103
542,5_function_91,7203
543,6_function_29,7353
544,8_function_11,704
545,4_function_50,6901
546,4_function_7,13601
547,3_function_39,304
548,7_function_48,13501
549,5_function_9,13602
550,3_function_58,204
551,8_function_88,20403
552,7_function_98,26601
553,3_function_31,103
554,4_function_94,13303
555,5_function_85,13601
556,3_function_11,204
557,3_function_44,6704
558,5_function_82,7001
559,7_function_27,20101
560,3_function_32,103
561,5_function_31,20401
562,4_function_49,13201
563,3_function_34,304
564,6_function_12,7102
565,5_function_10,6902
566,3_function_64,3401
567,4_function_89,13703
568,6_function_34,403
569,4_function_81,7001
570,3_function_12,104
571,8_function_15,26602
572,3_function_97,7001
573,8_function_48,14001
574,4_function_53,13501
575,7_function_90,7304
576,7_function_20,14001
577,8_function_33,7404
578,6_function_70,7203
579,6_function_25,13803
580,7_function_76,13102
581,6_function_38,13801
582,4_function_54,404
583,8_function_92,33603
584,7_function_29,20501
585,3_function_13,6902
586,3_function_7,404
587,6_function_19,7104
588,4_function_97,13501
589,6_function_48,20602
590,4_function_10,103
591,5_function_67,353
592,8_function_51,26602
593,6_function_27,13704
594,6_function_43,13601
595,5_function_8,13501
596,6_function_6,553
597,6_function_18,20201
598,7_function_62,654
599,7_function_44,7104
