,function_name,LEANMLIR_opt_similarity
99,7_function_11,"[['andi', 't0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 't0'], ['remu', 'a1,', 't0,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['div', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
100,4_function_38,"[['or', 'a0,', 'a0,', 'a1'], ['ret']]"
101,7_function_75,"[['sext.w', 't0,', 'a1'], ['or', 't0,', 't0,', 'a2'], ['rem', 'a0,', 'a0,', 't0'], ['zext.w', 'a1,', 'a1'], ['div', 't0,', 't0,', 't0'], ['and', 'a1,', 'a1,', 't0'], ['slt', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
102,4_function_75,"[['srl', 't0,', 'a0,', 'a0'], ['or', 't0,', 't0,', 'a0'], ['srl', 'a0,', 'a0,', 't0'], ['ret']]"
103,6_function_65,"[['and', 'a1,', 'a1,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a2,', 'a2,', 'a2'], ['divu', 'a1,', 'a1,', 'a2'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
104,5_function_1,"[['srl', 'a0,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
105,4_function_72,"[['srl', 'a0,', 'a0,', 'a1'], ['remu', 'a1,', 'a2,', 'a2'], ['divu', 'a1,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
106,8_function_39,"[['zext.w', 't0,', 'a0'], ['zext.w', 'a0,', 'a0'], ['sra', 't0,', 't0,', 't0'], ['and', 'a0,', 'a0,', 't0'], ['ret']]"
107,3_function_38,"[['sltu', 'a0,', 'a0,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
108,6_function_10,"[['divu', 'a0,', 'a0,', 'a0'], ['srl', 'a1,', 'a0,', 'a1'], ['or', 'a1,', 'a1,', 'a0'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
109,5_function_19,"[['remu', 'a0,', 'a0,', 'a1'], ['slt', 'a1,', 'a1,', 'a2'], ['xori', 'a1,', 'a1,', '1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
110,6_function_4,"[['slli', 't0,', 'a0,', '63'], ['srai', 't0,', 't0,', '63'], ['rem', 'a0,', 'a0,', 't0'], ['sext.w', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
111,5_function_76,"[['xor', 't0,', 'a2,', 'a1'], ['xor', 'a2,', 'a2,', 't0'], ['seqz', 'a2,', 'a2'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
112,5_function_32,"[['div', 'a1,', 'a0,', 'a1'], ['and', 'a1,', 'a1,', 'a0'], ['sra', 'a1,', 'a1,', 'a2'], ['zext.w', 'a1,', 'a1'], ['mv', 'a0,', 'a1'], ['ret']]"
113,7_function_47,"[['xor', 'a1,', 'a1,', 'a0'], ['divu', 'a0,', 'a1,', 'a0'], ['divu', 'a0,', 'a0,', 'a2'], ['srl', 'a1,', 'a1,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
114,4_function_15,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
115,4_function_61,"[['sext.w', 't0,', 'a0'], ['srl', 'a0,', 't0,', 'a0'], ['div', 'a0,', 'a0,', 't0'], ['ret']]"
116,5_function_22,"[['remu', 'a0,', 'a0,', 'a0'], ['slli', 't0,', 'a0,', '63'], ['srai', 't0,', 't0,', '63'], ['srl', 'a1,', 'a1,', 'a0'], ['slt', 'a1,', 'a1,', 't0'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
117,7_function_40,"[['sra', 'a0,', 'a0,', 'a1'], ['zext.w', 'a2,', 'a2'], ['remu', 'a1,', 'a1,', 'a2'], ['sext.w', 'a1,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
118,7_function_77,"[['rem', 't0,', 'a0,', 'a0'], ['sext.w', 'a1,', 'a1'], ['divu', 't0,', 't0,', 'a1'], ['remu', 'a2,', 'a2,', 't0'], ['xor', 't0,', 't0,', 'a2'], ['sltu', 'a0,', 'a0,', 't0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
119,4_function_84,"[['sext.w', 'a0,', 'a0'], ['and', 'a1,', 'a1,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
120,3_function_69,"[['zext.w', 'a1,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['seqz', 'a0,', 'a0'], ['ret']]"
121,3_function_82,"[['srl', 'a0,', 'a0,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
122,4_function_73,"[['divu', 't0,', 'a0,', 'a0'], ['sra', 't1,', 'a0,', 'a0'], ['snez', 'a0,', 'a0'], ['sub', 't0,', 't0,', 't1'], ['mul', 't0,', 't0,', 'a0'], ['add', 't0,', 't0,', 't1'], ['mv', 'a0,', 't0'], ['ret']]"
123,5_function_15,"[['rem', 'a1,', 'a0,', 'a0'], ['div', 'a1,', 'a0,', 'a1'], ['and', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
124,7_function_12,"[['remu', 'a2,', 'a1,', 'a1'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
125,8_function_0,"[['srl', 't0,', 'a0,', 'a0'], ['srl', 'a1,', 't0,', 'a1'], ['and', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 't0'], ['snez', 'a3,', 'a3'], ['sub', 'a0,', 'a0,', 'a1'], ['mul', 'a0,', 'a0,', 'a3'], ['add', 'a0,', 'a0,', 'a1'], ['and', 'a0,', 'a0,', 'a1'], ['or', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
126,5_function_48,"[['srl', 't0,', 'a2,', 'a2'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 't0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 't0'], ['rem', 'a2,', 'a0,', 'a2'], ['or', 'a0,', 'a0,', 'a2'], ['ret']]"
127,4_function_0,"[['nop'], ['li', 'a0,', '0'], ['ret']]"
128,5_function_70,"[['rem', 't0,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 't0'], ['div', 'a0,', 'a0,', 'a1'], ['or', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
129,5_function_68,"[['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a2,', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a2'], ['ret']]"
130,6_function_15,"[['divu', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['zext.w', 'a0,', 'a0'], ['div', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
131,6_function_91,"[['xor', 'a1,', 'a1,', 'a0'], ['slt', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['andi', 'a0,', 'a0,', '1'], ['remu', 'a0,', 'a0,', 'a1'], ['divu', 'a2,', 'a2,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['seqz', 'a1,', 'a1'], ['mv', 'a0,', 'a1'], ['ret']]"
132,6_function_13,"[['remu', 'a0,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['sext.w', 'a1,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
133,6_function_63,"[['mv', 'a1,', 'a2'], ['nop'], ['and', 'a1,', 'a1,', 'zero'], ['xor', 'a1,', 'zero,', 'a1'], ['seqz', 'a1,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
134,3_function_26,"[['sltu', 'a0,', 'a0,', 'a1'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
135,7_function_36,"[['or', 't0,', 'a0,', 'a1'], ['sltu', 't1,', 'a1,', 't0'], ['snez', 't1,', 't1'], ['sub', 'a2,', 'a2,', 'a1'], ['mul', 'a2,', 'a2,', 't1'], ['add', 'a2,', 'a2,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['slt', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
136,3_function_25,"[['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
137,7_function_16,"[['srl', 't0,', 'a0,', 'a0'], ['sext.w', 'a1,', 'a1'], ['or', 'a1,', 'a1,', 'a0'], ['remu', 'a1,', 't0,', 'a1'], ['divu', 'a2,', 'a2,', 't0'], ['rem', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
138,6_function_2,"[['zext.w', 'a1,', 'a1'], ['rem', 't0,', 'a1,', 'a1'], ['divu', 't0,', 't0,', 'a1'], ['sra', 't0,', 't0,', 'a0'], ['or', 'a0,', 'a0,', 't0'], ['ret']]"
139,6_function_52,"[['remu', 't0,', 'a2,', 'a0'], ['sra', 'a2,', 'a2,', 't0'], ['rem', 'a2,', 'a2,', 'a2'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['rem', 'a0,', 'a0,', 'a2'], ['ret']]"
140,8_function_56,"[['snez', 'a1,', 'a1'], ['sub', 't0,', 'a0,', 'a2'], ['mul', 't0,', 't0,', 'a1'], ['add', 't0,', 't0,', 'a2'], ['remu', 'a2,', 't0,', 't0'], ['div', 'a0,', 'a0,', 'a2'], ['and', 't0,', 't0,', 'a2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['and', 'a0,', 'a0,', 't0'], ['ret']]"
141,4_function_21,"[['or', 'a1,', 'a1,', 'a0'], ['and', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
142,7_function_9,"[['slt', 't0,', 'a1,', 'a0'], ['xori', 't0,', 't0,', '1'], ['andi', 't0,', 't0,', '1'], ['divu', 'a1,', 'a1,', 't0'], ['snez', 't0,', 't0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
143,7_function_59,"[['sltu', 'a2,', 'a0,', 'a0'], ['xori', 'a2,', 'a2,', '1'], ['remu', 't0,', 'a0,', 'a0'], ['snez', 'a2,', 'a2'], ['sub', 't0,', 't0,', 'a1'], ['mul', 't0,', 't0,', 'a2'], ['add', 't0,', 't0,', 'a1'], ['div', 'a0,', 'a0,', 't0'], ['nop'], ['sgtz', 'a0,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
144,8_function_40,"[['div', 't0,', 'a0,', 'a0'], ['nop'], ['rem', 't1,', 't0,', 'zero'], ['divu', 't1,', 'a0,', 't1'], ['or', 't1,', 't1,', 'a0'], ['slli', 't1,', 't1,', '63'], ['srai', 't1,', 't1,', '63'], ['sltu', 't1,', 't1,', 't0'], ['mv', 'a0,', 't1'], ['ret']]"
145,7_function_83,"[['srl', 't0,', 'a0,', 'a0'], ['snez', 't1,', 't0'], ['sub', 'a1,', 'a1,', 't0'], ['mul', 'a1,', 'a1,', 't1'], ['add', 'a1,', 'a1,', 't0'], ['sra', 'a2,', 'a1,', 'a2'], ['slt', 'a1,', 'a1,', 't0'], ['snez', 'a1,', 'a1'], ['sub', 'a0,', 'a0,', 't0'], ['mul', 'a0,', 'a0,', 'a1'], ['add', 'a0,', 'a0,', 't0'], ['remu', 'a2,', 'a2,', 'a0'], ['mv', 'a0,', 'a2'], ['ret']]"
146,6_function_28,"[['and', 'a1,', 'a1,', 'a2'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a0'], ['ret']]"
147,6_function_99,"[['sra', 'a0,', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a0'], ['sext.w', 't0,', 'a1'], ['xor', 't0,', 't0,', 'a1'], ['sltu', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
148,8_function_1,"[['div', 't0,', 'a0,', 'a1'], ['divu', 'a2,', 't0,', 'a2'], ['and', 'a2,', 'a2,', 'a0'], ['divu', 't0,', 't0,', 'a2'], ['sra', 'a1,', 'a1,', 'a0'], ['xor', 't0,', 't0,', 'a1'], ['divu', 't0,', 't0,', 'a0'], ['sltu', 't0,', 't0,', 'a2'], ['xori', 't0,', 't0,', '1'], ['mv', 'a0,', 't0'], ['ret']]"
149,7_function_4,"[['rem', 't0,', 'a0,', 'a0'], ['remu', 'a1,', 't0,', 'a1'], ['rem', 'a1,', 'a0,', 'a1'], ['remu', 'a1,', 'a1,', 'a2'], ['slt', 'a0,', 'a1,', 'a0'], ['snez', 'a0,', 'a0'], ['sub', 't0,', 't0,', 'a1'], ['mul', 't0,', 't0,', 'a0'], ['add', 't0,', 't0,', 'a1'], ['mv', 'a0,', 't0'], ['ret']]"
150,7_function_66,"[['remu', 'a1,', 'a1,', 'a0'], ['srl', 't0,', 'a0,', 'a1'], ['snez', 'a2,', 'a2'], ['sub', 't1,', 'a0,', 'a1'], ['mul', 't1,', 't1,', 'a2'], ['add', 't1,', 't1,', 'a1'], ['div', 't1,', 't1,', 't1'], ['div', 't0,', 't0,', 't1'], ['div', 'a0,', 'a0,', 't0'], ['ret']]"
151,4_function_70,"[['slt', 't0,', 'a0,', 'a0'], ['xori', 't0,', 't0,', '1'], ['snez', 't0,', 't0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
152,8_function_58,"[['sext.w', 'a3,', 'a3'], ['snez', 'a1,', 'a1'], ['sub', 't0,', 'a2,', 'a3'], ['mul', 't0,', 't0,', 'a1'], ['add', 't0,', 't0,', 'a3'], ['divu', 'a3,', 'a0,', 't0'], ['sra', 'a3,', 'a3,', 'a2'], ['and', 't0,', 't0,', 'a3'], ['slt', 't0,', 't0,', 'a0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['slt', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
153,4_function_91,"[['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a0'], ['ret']]"
154,3_function_1,"[['zext.w', 'a1,', 'a1'], ['div', 'a1,', 'a0,', 'a1'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
155,5_function_49,"[['sext.w', 'a0,', 'a0'], ['remu', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a1,', 'a0'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
156,7_function_60,"[['slt', 't0,', 'a0,', 'a0'], ['xori', 't0,', 't0,', '1'], ['divu', 'a1,', 'a1,', 'a0'], ['rem', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['snez', 'a2,', 't0'], ['sub', 'a1,', 'a1,', 'a0'], ['mul', 'a1,', 'a1,', 'a2'], ['add', 'a1,', 'a1,', 'a0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['slt', 'a1,', 'a1,', 't0'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
157,6_function_89,"[['div', 'a0,', 'a0,', 'a1'], ['zext.w', 't0,', 'a1'], ['div', 'a1,', 'a1,', 't0'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
158,8_function_41,"[['sra', 't0,', 'a0,', 'a1'], ['srl', 't0,', 'a0,', 't0'], ['snez', 'a2,', 'a2'], ['sub', 'a1,', 'a1,', 'a0'], ['mul', 'a1,', 'a1,', 'a2'], ['add', 'a1,', 'a1,', 'a0'], ['xor', 't0,', 't0,', 'a1'], ['seqz', 't0,', 't0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['slt', 't0,', 't0,', 'a0'], ['xori', 't0,', 't0,', '1'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['mv', 'a0,', 't0'], ['ret']]"
159,4_function_59,"[['zext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a0'], ['ret']]"
160,5_function_86,"[['rem', 't0,', 'a1,', 'a2'], ['or', 'a2,', 'a2,', 'a1'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 't0,', 'a2'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 'a2'], ['div', 'a1,', 'a1,', 't0'], ['mv', 'a0,', 'a1'], ['ret']]"
161,7_function_3,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['andi', 'a1,', 'a1,', '1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
162,6_function_62,"[['divu', 'a2,', 'a0,', 'a2'], ['rem', 't0,', 'a1,', 'a2'], ['divu', 't0,', 'a0,', 't0'], ['xor', 'a2,', 'a2,', 'a1'], ['sra', 'a2,', 'a2,', 'a0'], ['and', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
163,8_function_99,"[['slt', 't0,', 'a0,', 'a1'], ['xori', 't0,', 't0,', '1'], ['snez', 't0,', 't0'], ['sub', 'a0,', 'a0,', 'a2'], ['mul', 'a0,', 'a0,', 't0'], ['add', 'a0,', 'a0,', 'a2'], ['or', 'a0,', 'a0,', 'a2'], ['rem', 'a2,', 'a2,', 'a1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['sra', 'a0,', 'a0,', 'a2'], ['ret']]"
164,5_function_77,"[['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['sra', 'a2,', 'a0,', 'a2'], ['srl', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
165,4_function_22,"[['snez', 't0,', 'a0'], ['sub', 't1,', 'a0,', 'a1'], ['mul', 't1,', 't1,', 't0'], ['add', 't1,', 't1,', 'a1'], ['or', 'a2,', 'a2,', 'a0'], ['sltu', 'a2,', 'a2,', 't1'], ['xori', 'a2,', 'a2,', '1'], ['mv', 'a0,', 'a2'], ['ret']]"
166,8_function_38,"[['slt', 't0,', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a0'], ['sra', 't1,', 'a1,', 'a0'], ['rem', 'a0,', 'a0,', 't1'], ['snez', 't0,', 't0'], ['sub', 'a1,', 'a1,', 'a0'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
167,4_function_62,"[['andi', 'a0,', 'a0,', '1'], ['snez', 't0,', 'a0'], ['sub', 'a1,', 'a1,', 'a0'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
168,6_function_69,"[['divu', 'a1,', 'a1,', 'a1'], ['remu', 'a1,', 'a0,', 'a1'], ['slt', 'a1,', 'a1,', 'a2'], ['xori', 'a1,', 'a1,', '1'], ['andi', 'a1,', 'a1,', '1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
169,7_function_14,"[['nop'], ['li', 'a0,', '0'], ['rem', 'a0,', 'a0,', 'a0'], ['ret']]"
170,4_function_96,"[['or', 'a1,', 'a1,', 'a0'], ['slt', 'a0,', 'a0,', 'a1'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
171,7_function_96,"[['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
172,4_function_51,"[['divu', 'a1,', 'a0,', 'a1'], ['or', 'a1,', 'a1,', 'a0'], ['divu', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
173,6_function_21,"[['rem', 't0,', 'a0,', 'a0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['sra', 't0,', 'a0,', 't0'], ['rem', 'a0,', 'a0,', 't0'], ['ret']]"
174,5_function_58,"[['div', 't0,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['remu', 'a0,', 'a0,', 'a2'], ['or', 't0,', 't0,', 'a0'], ['or', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
175,8_function_84,"[['andi', 'a0,', 'a0,', '1'], ['nop'], ['and', 't0,', 'a0,', 'zero'], ['xor', 'a1,', 'a1,', 'a0'], ['slt', 't0,', 't0,', 'a1'], ['xori', 't0,', 't0,', '1'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['div', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
176,7_function_82,"[['sext.w', 't0,', 'a0'], ['rem', 't0,', 't0,', 't0'], ['srl', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
177,6_function_40,"[['remu', 't0,', 'a0,', 'a0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['divu', 't0,', 't0,', 'a1'], ['sra', 'a0,', 'a0,', 't0'], ['ret']]"
178,7_function_89,"[['sra', 't0,', 'a0,', 'a1'], ['andi', 'a3,', 'a3,', '1'], ['srl', 'a1,', 'a1,', 'a3'], ['snez', 'a1,', 'a1'], ['sub', 'a3,', 'a3,', 'a0'], ['mul', 'a3,', 'a3,', 'a1'], ['add', 'a3,', 'a3,', 'a0'], ['and', 'a2,', 'a2,', 'a3'], ['slt', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
179,3_function_49,"[['sra', 'a0,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['ret']]"
180,6_function_59,"[['mv', 'a1,', 'a2'], ['srl', 't0,', 'a0,', 'a0'], ['div', 'a0,', 'a1,', 'a0'], ['divu', 't0,', 't0,', 'a0'], ['div', 't0,', 't0,', 'a1'], ['mv', 'a0,', 't0'], ['ret']]"
181,8_function_86,"[['srl', 't0,', 'a0,', 'a0'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['xor', 'a1,', 'a0,', 'a2'], ['seqz', 'a1,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a1,', 'a1,', 'a0'], ['sra', 'a2,', 'a2,', 'a1'], ['xor', 't0,', 't0,', 'a2'], ['snez', 't0,', 't0'], ['mv', 'a0,', 't0'], ['ret']]"
182,6_function_61,"[['srl', 't0,', 'a2,', 'a1'], ['snez', 'a0,', 'a0'], ['sub', 't1,', 'a1,', 't0'], ['mul', 't1,', 't1,', 'a0'], ['add', 't1,', 't1,', 't0'], ['divu', 'a2,', 'a2,', 'a1'], ['or', 't1,', 't1,', 'a2'], ['zext.w', 't1,', 't1'], ['mv', 'a0,', 't1'], ['ret']]"
183,5_function_44,"[['slt', 'a0,', 'a0,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
184,3_function_65,"[['zext.w', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
185,7_function_92,"[['remu', 'a0,', 'a0,', 'a1'], ['sext.w', 'a1,', 'a0'], ['zext.w', 'a0,', 'a0'], ['divu', 'a1,', 'a1,', 'a0'], ['rem', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
186,8_function_81,"[['srl', 'a0,', 'a0,', 'a0'], ['zext.w', 'a1,', 'a1'], ['andi', 'a1,', 'a1,', '1'], ['remu', 'a1,', 'a1,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
187,8_function_64,"[['nop'], ['li', 'a0,', '0'], ['ret']]"
188,8_function_71,"[['div', 't0,', 'a1,', 'a2'], ['xor', 't1,', 'a2,', 't0'], ['snez', 't1,', 't1'], ['andi', 't1,', 't1,', '1'], ['and', 'a2,', 'a2,', 't0'], ['remu', 't1,', 't1,', 'a2'], ['div', 'a1,', 'a1,', 't1'], ['sltu', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
189,8_function_13,"[['andi', 'a2,', 'a2,', '1'], ['or', 't0,', 'a1,', 'a2'], ['remu', 't0,', 'a1,', 't0'], ['remu', 't0,', 't0,', 'a1'], ['rem', 'a1,', 'a1,', 't0'], ['div', 'a0,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a2'], ['ret']]"
190,8_function_68,"[['andi', 'a1,', 'a1,', '1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['and', 'a2,', 'a2,', 'a1'], ['divu', 'a0,', 'a0,', 'a2'], ['divu', 'a1,', 'a0,', 'a1'], ['and', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
191,4_function_11,"[['and', 'a1,', 'a1,', 'a2'], ['or', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
192,7_function_99,"[['xor', 'a2,', 'a2,', 'a0'], ['srl', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a1,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
193,6_function_1,"[['sra', 't0,', 'a1,', 'a0'], ['div', 't0,', 't0,', 'a2'], ['div', 'a2,', 'a2,', 'a1'], ['div', 't0,', 't0,', 'a2'], ['slt', 'a0,', 'a0,', 't0'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
194,7_function_94,"[['rem', 't0,', 'a0,', 'a0'], ['zext.w', 't0,', 't0'], ['sltu', 't0,', 't0,', 'a0'], ['xori', 't0,', 't0,', '1'], ['mv', 'a0,', 't0'], ['ret']]"
195,4_function_23,"[['rem', 't0,', 'a0,', 'a0'], ['srl', 't0,', 't0,', 'a1'], ['snez', 't0,', 't0'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 't0'], ['add', 'a2,', 'a2,', 'a0'], ['mv', 'a0,', 'a2'], ['ret']]"
