,function_name,LEANMLIR_opt_similarity
20,3_function_46,"[['divu', 'a0,', 'a0,', 'a0'], ['ret']]"
21,5_function_23,"[['sext.w', 'a2,', 'a2'], ['sra', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
22,7_function_57,"[['remu', 't0,', 'a0,', 'a1'], ['div', 'a2,', 'a2,', 't0'], ['remu', 'a1,', 'a1,', 'a2'], ['sext.w', 'a1,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
23,7_function_84,"[['sltu', 't0,', 'a1,', 'a0'], ['andi', 't0,', 't0,', '1'], ['sra', 't0,', 't0,', 'a0'], ['div', 'a2,', 'a2,', 'a0'], ['div', 'a2,', 'a2,', 'a1'], ['srl', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
24,4_function_3,"[['zext.w', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
25,4_function_34,"[['div', 'a0,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
26,5_function_61,"[['slt', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['sra', 'a2,', 'a2,', 'a0'], ['mv', 'a0,', 'a2'], ['ret']]"
27,8_function_97,"[['rem', 'a0,', 'a0,', 'a0'], ['sext.w', 'a0,', 'a0'], ['div', 'a1,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['ret']]"
28,3_function_19,"[['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a0'], ['ret']]"
29,8_function_67,"[['sra', 't0,', 'a1,', 'a2'], ['or', 'a0,', 'a0,', 't0'], ['andi', 'a1,', 'a1,', '1'], ['slt', 'a0,', 'a0,', 'a1'], ['sext.w', 't0,', 't0'], ['sext.w', 'a2,', 'a2'], ['snez', 'a0,', 'a0'], ['sub', 't0,', 't0,', 'a2'], ['mul', 't0,', 't0,', 'a0'], ['add', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
30,7_function_23,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['zext.w', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
31,4_function_28,"[['zext.w', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a0'], ['slt', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['andi', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
32,7_function_24,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a0,', 'a0,', 'a1'], ['sltu', 'a1,', 'a2,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['sra', 't0,', 'a2,', 'a0'], ['xor', 'a2,', 'a2,', 't0'], ['snez', 'a1,', 'a1'], ['sub', 't0,', 't0,', 'a2'], ['mul', 't0,', 't0,', 'a1'], ['add', 't0,', 't0,', 'a2'], ['sra', 'a0,', 'a0,', 't0'], ['ret']]"
33,4_function_74,"[['sra', 'a0,', 'a0,', 'a1'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
34,7_function_50,"[['rem', 't0,', 'a1,', 'a2'], ['snez', 't1,', 'a0'], ['sub', 't0,', 't0,', 'a2'], ['mul', 't0,', 't0,', 't1'], ['add', 't0,', 't0,', 'a2'], ['xor', 'a0,', 'a0,', 't0'], ['zext.w', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
35,3_function_95,"[['remu', 't0,', 'a0,', 'a0'], ['srl', 't0,', 'a0,', 't0'], ['slt', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
36,5_function_64,"[['sext.w', 'a1,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['rem', 'a0,', 'a0,', 'a2'], ['snez', 'a3,', 'a3'], ['sub', 'a2,', 'a2,', 'a1'], ['mul', 'a2,', 'a2,', 'a3'], ['add', 'a2,', 'a2,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['snez', 'a0,', 'a0'], ['ret']]"
37,3_function_43,"[['remu', 't0,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 't0'], ['snez', 'a0,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
38,5_function_21,"[['srl', 'a1,', 'a0,', 'a1'], ['slli', 'a3,', 'a3,', '63'], ['srai', 'a3,', 'a3,', '63'], ['or', 'a2,', 'a2,', 'a3'], ['remu', 'a0,', 'a0,', 'a2'], ['slt', 'a0,', 'a0,', 'a1'], ['ret']]"
39,8_function_37,"[['and', 'a1,', 'a1,', 'a0'], ['andi', 'a2,', 'a2,', '1'], ['rem', 'a1,', 'a1,', 'a2'], ['div', 'a1,', 'a0,', 'a1'], ['zext.w', 'a1,', 'a1'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
40,4_function_76,"[['xor', 'a2,', 'a2,', 'a0'], ['div', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
41,6_function_97,"[['sra', 'a0,', 'a0,', 'a1'], ['or', 'a1,', 'a2,', 'a2'], ['xor', 'a2,', 'a2,', 'a1'], ['sext.w', 'a2,', 'a2'], ['rem', 'a2,', 'a2,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['ret']]"
42,5_function_12,"[['snez', 't0,', 'a0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a2'], ['and', 'a1,', 'a1,', 'a2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['divu', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
43,7_function_51,"[['andi', 'a1,', 'a1,', '1'], ['and', 'a2,', 'a2,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['sra', 'a1,', 'a0,', 'a1'], ['remu', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
44,7_function_95,"[['slli', 't0,', 'a0,', '63'], ['srai', 't0,', 't0,', '63'], ['divu', 'a0,', 'a0,', 't0'], ['sltu', 'a1,', 'a2,', 'a1'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
45,5_function_38,"[['sra', 'a1,', 'a0,', 'a1'], ['xor', 't0,', 'a0,', 'a1'], ['slt', 't0,', 't0,', 'a2'], ['srl', 'a1,', 'a1,', 'a2'], ['snez', 't0,', 't0'], ['sub', 'a0,', 'a0,', 'a1'], ['mul', 'a0,', 'a0,', 't0'], ['add', 'a0,', 'a0,', 'a1'], ['ret']]"
46,5_function_26,"[['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['and', 'a2,', 'a2,', 'a0'], ['remu', 'a2,', 'a0,', 'a2'], ['and', 'a2,', 'a2,', 'a0'], ['mv', 'a0,', 'a2'], ['ret']]"
47,7_function_10,"[['sext.w', 'a1,', 'a1'], ['remu', 'a1,', 'a1,', 'a1'], ['rem', 'a1,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
48,7_function_65,"[['mv', 'a0,', 'a1'], ['div', 't0,', 'a0,', 'a0'], ['rem', 'a2,', 'a2,', 'a2'], ['or', 'a0,', 'a0,', 'a2'], ['or', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
49,8_function_46,"[['remu', 'a2,', 'a1,', 'a2'], ['sra', 't0,', 'a0,', 'a2'], ['sext.w', 'a3,', 'a3'], ['sra', 'a1,', 'a1,', 'a2'], ['xor', 'a3,', 'a3,', 'a1'], ['xor', 'a3,', 't0,', 'a3'], ['and', 'a0,', 'a0,', 'a3'], ['slt', 'a0,', 'a0,', 't0'], ['ret']]"
50,6_function_46,"[['rem', 't0,', 'a1,', 'a0'], ['xor', 'a1,', 't0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['remu', 'a1,', 'a1,', 't0'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
