,function_name,LEANMLIR_opt_tot_uops,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,instructions_number
275,7_function_83,14,11,11,7
276,8_function_31,7,7,7,8
277,8_function_87,9,9,7,8
278,4_function_21,4,4,4,4
279,3_function_46,2,2,2,3
280,6_function_70,11,8,9,6
281,4_function_69,5,4,4,4
282,7_function_1,11,7,7,7
283,4_function_77,4,4,4,4
284,3_function_95,5,4,2,3
285,6_function_65,7,7,5,6
286,6_function_38,7,6,6,6
287,8_function_0,12,11,4,8
288,8_function_59,11,10,10,8
289,7_function_29,8,7,7,7
290,4_function_49,3,3,3,4
291,6_function_26,6,5,4,6
292,4_function_31,2,3,2,4
293,5_function_64,10,9,9,5
294,3_function_56,3,3,2,3
295,3_function_66,4,4,4,3
296,6_function_0,7,6,6,6
297,5_function_53,7,7,7,5
298,7_function_4,11,8,2,7
299,8_function_30,13,10,7,8
300,7_function_79,5,6,5,7
301,8_function_85,7,5,5,8
302,6_function_81,8,7,7,6
303,7_function_0,6,4,4,7
304,4_function_22,9,8,8,4
305,5_function_12,10,8,7,5
306,4_function_44,9,7,7,4
307,4_function_54,6,5,2,4
308,5_function_37,7,6,6,5
309,7_function_48,11,6,5,7
310,8_function_73,13,12,11,8
311,5_function_18,6,5,5,5
312,3_function_61,7,6,5,3
313,6_function_82,8,7,4,6
314,8_function_18,8,8,7,8
315,4_function_52,8,6,6,4
316,7_function_68,5,5,5,7
317,8_function_83,7,7,7,8
318,3_function_69,4,4,4,3
319,5_function_7,6,5,2,5
320,8_function_42,9,8,8,8
321,3_function_71,6,6,5,3
322,3_function_37,3,3,3,3
323,5_function_66,5,5,5,5
324,5_function_96,4,2,1,5
325,4_function_9,4,3,3,4
326,5_function_97,4,3,2,5
327,5_function_27,9,7,7,5
328,4_function_79,2,2,2,4
329,5_function_99,5,5,5,5
330,7_function_73,15,11,12,7
331,8_function_11,12,10,7,8
332,4_function_32,5,4,4,4
333,6_function_29,9,9,9,6
334,4_function_42,8,7,7,4
335,4_function_88,7,6,6,4
336,6_function_6,7,7,7,6
337,8_function_19,11,10,2,8
338,6_function_73,5,5,2,6
339,4_function_11,4,4,4,4
340,3_function_98,4,4,4,3
341,6_function_12,9,8,2,6
342,4_function_72,5,5,2,4
343,7_function_72,7,4,2,7
344,5_function_0,7,7,7,5
345,6_function_14,3,2,2,6
346,3_function_26,3,2,2,3
347,7_function_74,13,12,2,7
348,4_function_15,5,1,1,4
349,8_function_61,10,9,8,8
350,8_function_71,10,8,8,8
351,7_function_52,9,9,2,7
352,5_function_55,5,4,4,5
353,5_function_65,4,3,3,5
354,8_function_53,8,8,8,8
355,7_function_5,14,10,10,7
356,6_function_22,6,4,4,6
357,5_function_32,6,5,5,5
358,6_function_24,13,12,6,6
359,8_function_67,12,7,7,8
360,8_function_39,5,4,4,8
361,6_function_83,6,6,6,6
362,7_function_77,8,8,2,7
363,3_function_80,3,1,1,3
364,5_function_91,8,6,6,5
365,6_function_10,5,5,2,6
366,4_function_81,4,4,2,4
367,7_function_38,9,8,4,7
368,7_function_7,8,8,2,7
369,7_function_59,13,5,2,7
370,7_function_49,7,7,7,7
371,5_function_86,9,7,7,5
372,6_function_23,7,6,6,6
373,4_function_76,4,4,4,4
374,7_function_54,8,6,2,7
375,6_function_4,6,6,6,6
376,4_function_94,4,4,1,4
377,8_function_3,8,7,4,8
378,3_function_20,5,4,4,3
379,4_function_16,4,4,2,4
380,8_function_9,9,6,2,8
381,5_function_92,5,5,5,5
382,7_function_66,10,10,4,7
383,7_function_25,9,7,7,7
384,7_function_89,11,9,8,7
385,4_function_0,4,3,1,4
386,5_function_63,7,6,6,5
387,8_function_69,10,7,7,8
388,8_function_80,12,9,5,8
389,6_function_27,9,7,7,6
390,8_function_50,10,9,9,8
391,6_function_41,8,7,7,6
392,7_function_6,13,14,6,7
393,4_function_7,6,5,5,4
394,6_function_75,4,5,2,6
395,4_function_4,4,2,2,4
396,5_function_51,5,5,5,5
397,7_function_53,11,7,7,7
398,8_function_26,10,9,9,8
399,7_function_30,14,9,9,7
400,8_function_20,7,7,7,8
401,3_function_17,3,3,3,3
402,3_function_59,4,3,2,3
403,4_function_85,7,6,5,4
404,5_function_93,4,4,3,5
405,5_function_71,3,4,3,5
406,6_function_32,7,5,2,6
407,3_function_70,3,3,3,3
408,6_function_50,6,6,6,6
409,4_function_37,4,4,3,4
410,5_function_39,3,2,3,5
411,7_function_9,10,6,6,7
412,3_function_97,8,6,6,3
413,4_function_2,4,4,4,4
414,6_function_47,10,7,5,6
415,5_function_72,6,6,2,5
416,4_function_55,8,6,6,4
417,8_function_49,11,6,5,8
418,6_function_76,10,9,9,6
419,3_function_93,4,4,4,3
420,4_function_33,4,4,4,4
421,4_function_50,4,4,4,4
422,6_function_91,10,8,8,6
423,4_function_23,8,6,1,4
424,8_function_5,12,11,2,8
425,6_function_98,9,7,6,6
426,6_function_92,5,5,5,6
427,6_function_80,6,6,6,6
428,8_function_10,9,8,2,8
429,8_function_2,5,5,5,8
430,3_function_58,3,3,3,3
431,8_function_4,19,14,14,8
432,3_function_77,4,4,4,3
433,8_function_36,10,8,7,8
434,7_function_57,6,6,6,7
435,7_function_43,9,7,7,7
436,3_function_73,3,3,3,3
437,4_function_98,2,2,2,4
438,4_function_95,3,3,2,4
439,3_function_19,3,3,2,3
440,5_function_95,5,4,4,5
441,5_function_21,7,7,7,5
442,7_function_71,9,8,8,7
443,3_function_21,1,1,1,3
444,5_function_34,8,7,7,5
445,4_function_10,4,1,1,4
446,7_function_61,7,5,2,7
447,7_function_37,8,7,7,7
448,7_function_85,10,8,4,7
449,6_function_37,12,10,9,6
450,6_function_43,9,8,8,6
451,8_function_93,9,8,2,8
452,7_function_99,5,6,5,7
453,3_function_67,7,6,6,3
454,7_function_42,7,6,5,7
455,4_function_17,5,5,5,4
456,8_function_70,11,10,2,8
457,8_function_22,17,14,6,8
458,3_function_87,8,7,5,3
459,4_function_61,4,4,4,4
460,7_function_91,10,9,7,7
461,5_function_89,2,2,2,5
462,3_function_23,7,5,2,3
463,3_function_8,5,4,4,3
464,4_function_57,8,6,5,4
465,8_function_86,15,13,12,8
466,6_function_17,10,8,8,6
467,3_function_35,3,3,2,3
468,5_function_57,4,3,2,5
469,7_function_21,8,7,7,7
470,8_function_79,9,9,2,8
471,4_function_1,3,3,3,4
472,3_function_78,1,1,1,3
473,7_function_92,7,6,6,7
474,8_function_38,10,6,4,8
475,7_function_60,15,12,5,7
476,8_function_32,12,10,2,8
477,5_function_76,11,7,6,5
478,3_function_55,9,5,6,3
479,6_function_66,10,6,6,6
