,locations,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
459,gmaskedhmergehadd_proof.lean:8,76.0,77.0,0.0,0.0,59.67625,0.0,0.0
460,gmaskedhmergehadd_proof.lean:11,71.0,76.0,0.0,0.0,61.543208,0.0,0.0
461,gmaskedhmergehadd_proof.lean:14,74.0,76.0,0.0,0.0,61.033541,0.0,0.0
462,gmaskedhmergehadd_proof.lean:17,76.0,78.0,0.0,0.0,61.309041,0.0,0.0
463,gmaskedhmergehadd_proof.lean:20,72.0,75.0,0.0,0.0,58.894459,0.0,0.0
464,gmaskedhmergehadd_proof.lean:23,76.0,78.0,0.0,0.0,61.149542,0.0,0.0
465,gmaskedhmergehadd_proof.lean:26,73.0,76.0,0.0,0.0,61.995375,0.0,0.0
466,gmaskedhmergehadd_proof.lean:28,74.0,67.0,0.0,0.0,57.0575,0.0,0.0
467,ghoisthnegationhouthofhbiashcalculationhwithhconstant_proof.lean:7,79.0,82.0,14.101083,0.0,60.7825,0.0,0.0
468,ghoisthnegationhouthofhbiashcalculationhwithhconstant_proof.lean:9,77.0,74.0,12.032125,0.0,56.348834,0.0,0.0
469,gsignext_proof.lean:7,74.0,77.0,0.0,0.0,61.193625,0.0,0.0
470,gsignext_proof.lean:9,72.0,76.0,0.0,0.0,61.246,0.0,0.0
471,gsignext_proof.lean:11,69.0,76.0,0.0,0.0,61.163459,0.0,0.0
472,gsignext_proof.lean:13,76.0,76.0,0.0,0.0,59.130334,0.0,0.0
473,gsignext_proof.lean:15,74.0,69.0,0.0,0.0,58.739792,0.0,0.0
474,gsignext_proof.lean:17,76.0,77.0,0.0,0.0,61.092625,0.0,0.0
475,gpreservedhanalyses_proof.lean:7,0.0,3.0,0.0,0.0,0.0,0.0,0.0
476,gapinthor_proof.lean:7,71.0,70.0,0.0,0.0,59.854625,0.0,0.0
477,gapinthor_proof.lean:10,76.0,77.0,0.0,0.0,61.673791,0.0,0.0
478,gapinthor_proof.lean:16,75.0,117.0,0.0,0.0,62.4395,0.0,24.268583
479,gapinthor_proof.lean:22,76.0,105.0,0.0,0.0,60.266167,0.0,17.965459
480,gsubhnot_proof.lean:7,77.0,89.0,12.538167,0.0,64.722708,0.0,0.0
481,gsubhnot_proof.lean:9,80.0,89.0,14.125,0.0,61.403625,0.0,0.0
482,gsubhnot_proof.lean:11,76.0,80.0,15.114542,0.0,58.499458,0.0,0.0
483,gsubhnot_proof.lean:13,81.0,92.0,13.821833,0.0,63.649209,0.0,0.0
