,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
0,67.815801,68.011691,68.011691,68.011691
1,67.649427,68.011691,68.011691,68.011691
2,96.62692,68.011691,68.011691,68.011691
3,101.167892,68.011691,68.011691,68.011691
4,84.750169,68.011691,68.011691,68.011691
5,86.157595,68.011691,68.011691,68.011691
6,82.319392,68.011691,68.011691,68.011691
7,85.572261,68.011691,68.011691,68.011691
8,87.202037,68.011691,68.011691,68.011691
9,84.989381,68.011691,68.011691,68.011691
10,89.464636,68.011691,68.011691,68.011691
11,83.901717,68.011691,68.011691,68.011691
12,71.661077,68.011691,68.011691,68.011691
13,72.094345,68.011691,68.011691,68.011691
14,75.035575,68.011691,68.011691,68.011691
15,83.852735,68.011691,68.011691,68.011691
16,73.73034,68.011691,68.011691,68.011691
17,100.819284,68.011691,68.011691,68.011691
18,80.320529,68.011691,68.011691,68.011691
19,70.949514,68.011691,68.011691,68.011691
20,78.252587,68.011691,68.011691,68.011691
21,70.384137,68.011691,68.011691,68.011691
22,77.460192,68.011691,68.011691,68.011691
23,79.739511,68.011691,68.011691,68.011691
24,70.57664,68.011691,68.011691,68.011691
25,70.437058,68.011691,68.011691,68.011691
26,81.871826,68.011691,68.011691,68.011691
27,89.359617,68.011691,68.011691,68.011691
28,87.038898,68.011691,68.011691,68.011691
29,88.84169,68.011691,68.011691,68.011691
30,91.683483,68.011691,68.011691,68.011691
31,83.248054,68.011691,68.011691,68.011691
32,88.934274,68.011691,68.011691,68.011691
33,88.500886,68.011691,68.011691,68.011691
34,95.601346,68.011691,68.011691,68.011691
35,85.797455,68.011691,68.011691,68.011691
36,87.265486,68.011691,68.011691,68.011691
37,96.16091,68.011691,68.011691,68.011691
38,97.37867,68.011691,68.011691,68.011691
39,72.47359,68.011691,68.011691,68.011691
40,66.402452,68.011691,68.011691,68.011691
41,68.011691,68.011691,68.011691,68.011691
