,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
0,68.713176,73.31011,73.31011,73.31011
1,67.723789,73.31011,73.31011,73.31011
2,94.524546,73.31011,73.31011,73.31011
3,99.495899,73.31011,73.31011,73.31011
4,84.965817,73.31011,73.31011,73.31011
5,87.124882,73.31011,73.31011,73.31011
6,81.967649,73.31011,73.31011,73.31011
7,79.09126,73.31011,73.31011,73.31011
8,88.631011,73.31011,73.31011,73.31011
9,84.166529,73.31011,73.31011,73.31011
10,88.672582,73.31011,73.31011,73.31011
11,84.512312,73.31011,73.31011,73.31011
12,73.516691,73.31011,73.31011,73.31011
13,74.692921,73.31011,73.31011,73.31011
14,81.046492,73.31011,73.31011,73.31011
15,83.679259,73.31011,73.31011,73.31011
16,75.208192,73.31011,73.31011,73.31011
17,101.034151,73.31011,73.31011,73.31011
18,82.343047,73.31011,73.31011,73.31011
19,72.080139,73.31011,73.31011,73.31011
20,78.351635,73.31011,73.31011,73.31011
21,72.193313,73.31011,73.31011,73.31011
22,78.306399,73.31011,73.31011,73.31011
23,82.26017,73.31011,73.31011,73.31011
24,73.443222,73.31011,73.31011,73.31011
25,73.853286,73.31011,73.31011,73.31011
26,82.658252,73.31011,73.31011,73.31011
27,90.58971,73.31011,73.31011,73.31011
28,88.170093,73.31011,73.31011,73.31011
29,89.086735,73.31011,73.31011,73.31011
30,92.691355,73.31011,73.31011,73.31011
31,85.665227,73.31011,73.31011,73.31011
32,90.5736,73.31011,73.31011,73.31011
33,89.442365,73.31011,73.31011,73.31011
34,97.551127,73.31011,73.31011,73.31011
35,86.581736,73.31011,73.31011,73.31011
36,85.841168,73.31011,73.31011,73.31011
37,97.399511,73.31011,73.31011,73.31011
38,98.099171,73.31011,73.31011,73.31011
39,78.706163,73.31011,73.31011,73.31011
40,71.240063,73.31011,73.31011,73.31011
41,73.31011,73.31011,73.31011,73.31011
