,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
443,72.472669,86.26761,17.40424,55.81349
444,72.41412,89.102559,17.94451,58.548049
445,97.00233,87.925919,31.533729,54.99166
446,80.06064,95.94781,36.51052,57.58773
447,762.769287,146.160299,84.615899,58.81986
448,76.9717,76.78354,20.1524,55.92981
449,76.742329,77.68992,20.52743,56.42212
450,75.70214,75.738609,19.20499,55.917499
451,76.065919,74.74296,18.49378,55.58111
452,74.352049,224.674379,17.95363,206.084
453,74.425989,73.96064,17.665,55.65616
454,73.75555,73.62786,16.22904,56.643
455,77.9407,85.922179,26.24298,56.895449
456,97.717319,103.7226,42.25509,58.73212
457,89.00178,92.588379,35.07737,54.918889
458,102.83178,128.21301,70.44114,56.74584
459,93.94131,96.69951,37.70283,58.30193
460,100.24165,90.576909,30.83135,59.149199
461,95.19115,100.519009,42.04391,57.478829
462,120.652029,144.38573,83.91176,56.80561
463,107.863309,105.92771,48.55792,55.6642
464,108.280609,115.42424,58.67199,55.83474
465,109.91626,710.605677,36.197599,57.87611
466,98.44244,209.23233,41.56222,112.52538
467,102.742599,117.893019,40.28151,59.02157
468,96.001929,110.33004,39.74755,56.31776
469,96.855619,115.66988,44.9882,55.91497
470,94.43162,308.304118,38.838119,256.478399
471,96.48359,310.576948,40.070959,256.397089
472,97.22835,311.194558,41.30792,256.655818
473,87.84902,352.704158,27.800569,306.932739
474,86.37754,203.315959,28.752339,156.63139
475,103.068099,171.477459,46.84839,106.523809
476,98.54549,117.238569,46.15211,56.174719
477,88.83431,102.41535,28.41342,56.15894
478,106.62584,121.269969,47.12316,56.293719
479,84.90784,102.0617,28.59523,56.30986
480,83.96117,82.938559,23.42569,55.162609
481,86.980689,84.61428,24.94441,55.2934
482,85.73703,83.324649,23.73727,55.216609
483,87.143259,84.6851,25.10805,55.20115
484,84.247619,83.40709,23.83205,55.2172
485,87.70937,84.717989,25.0302,55.349349
486,86.096969,83.51978,23.77649,55.38392
487,87.44494,85.143589,24.9647,55.52311
488,93.8336,99.014069,37.407549,59.30194
489,81.22983,80.22178,22.89807,56.74302
490,85.557779,212.99133,34.64484,177.08353
491,106.75483,98.499399,39.99742,54.94718
492,119.060969,125.95495,62.39813,54.96899
493,109.81154,107.367549,48.35778,56.41348
494,75.06318,76.046809,19.9113,55.271039
495,100.72056,164.924409,36.82991,107.667039
496,146.107869,241.327809,90.32692,105.940819
497,137.906319,128.515459,71.460579,55.45944
498,163.343029,1401.751343,52.622829,784.578226
499,100.94663,336.320288,39.968799,165.124429
500,113.715309,727.726767,53.93889,469.620988
501,172.908509,132.992399,71.735389,59.85812
502,192.310499,182.695209,124.230869,56.52725
503,169.233869,188.894009,114.515569,56.06395
504,82.82374,98.42573,28.31345,55.98489
505,89.294449,302.808709,33.28199,256.732629
506,87.831909,103.34517,33.18998,57.46697
507,64.940659,64.95189,9.3484,55.17125
508,67.58524,67.45091,12.22132,54.69226
509,63.47519,63.16116,7.92811,54.88233
510,106.451399,186.39077,51.22137,107.24641
511,93.17907,158.126759,33.557959,105.77587
512,95.27162,156.022309,31.59064,106.8869
513,96.6991,281.559189,30.13402,158.73135
514,90.02973,211.299429,29.18309,159.273839
515,93.786049,1538.839674,33.15664,964.258226
516,94.81833,320.072228,42.91075,259.838828
517,91.93896,199.18038,29.58526,157.99994
518,106.165299,109.006929,47.0084,56.065869
519,105.56485,257.228249,45.85666,206.222869
520,72.41321,72.33195,15.65401,55.6431
521,108.39232,317.960118,50.196279,211.818099
522,115.21333,381.538389,60.93603,262.386349
523,125.83845,397.041678,71.05596,261.805589
524,93.108479,389.892408,36.69164,310.507928
525,100.349889,350.859999,45.84691,260.817369
526,87.63003,123.509159,31.11398,59.684019
527,96.14379,135.475719,40.4105,59.573619
528,106.08286,168.551569,49.820099,61.40717
529,115.128969,230.201859,61.34394,111.48574
530,126.064309,203.960769,75.84301,61.58557
531,93.309439,135.222219,36.855,60.019839
532,102.55249,148.396169,45.869509,59.68109
533,87.713619,122.953039,30.88973,59.955339
534,97.23736,139.365199,40.93049,60.364229
535,106.64394,171.226949,48.602109,62.03631
536,115.431329,185.309169,60.49352,61.4465
537,125.793479,246.023579,70.09869,112.047769
538,90.399659,133.697209,34.07643,59.620549
539,98.3654,145.171289,42.46993,59.7493
540,90.986539,133.997069,33.62042,59.576009
541,98.5817,198.692059,43.14914,109.89131
542,106.89264,170.181309,48.924259,61.10013
543,114.482989,481.392728,60.1067,362.459118
544,125.925249,247.568109,70.86779,112.30367
545,90.98921,133.325369,34.36247,60.458939
546,98.35994,144.11312,42.45748,60.15521
547,91.1169,131.223789,33.56922,59.85539
548,97.72943,144.24062,42.31231,60.26364
549,77.084789,161.51206,23.02071,109.65334
550,117.24219,381.120808,52.890119,315.052669
551,110.656059,381.259858,46.09367,315.861098
552,111.037769,283.264629,46.35267,216.137839
553,128.377039,159.779419,63.26272,66.7739
554,127.48006,159.87747,62.87442,65.95709
555,134.388439,2535.690599,63.58512,2281.15372
556,130.09099,362.243789,62.82452,268.052739
557,107.00653,837.791258,44.85316,715.687179
558,118.17542,515.392148,60.56564,271.870229
559,94.337199,133.50735,35.77001,60.92231
560,92.76443,209.106629,35.95012,110.92334
561,164.451709,1064.732295,56.27488,771.538316
562,129.361529,138.247349,59.38239,57.303909
563,88.55315,201.989439,26.96452,157.917859
564,84.644239,86.12724,26.83512,58.20789
565,110.106769,162.03302,54.16669,106.83812
566,103.502549,100.3731,29.9028,57.48296
567,83.318801,89.614309,25.761309,57.26741
568,100.42001,122.644889,36.457609,64.58469
569,100.407969,125.21214,36.95894,64.98376
570,101.34171,121.626009,35.60326,65.161239
571,100.003919,121.7665,36.15548,65.03891
572,152.414419,158.939159,87.99046,62.973739
573,160.883169,170.4627,98.96724,63.60908
574,111.10144,102.89419,39.4285,58.39065
575,109.314529,192.616279,47.25692,116.502189
576,102.71789,150.870909,38.770719,106.61279
577,127.766889,128.42745,62.38418,57.31946
578,122.96856,128.069699,62.030649,57.45412
579,98.92854,98.714969,37.84744,55.413109
580,111.93354,112.890909,52.07911,55.26291
581,98.49674,97.605539,37.118689,55.190399
582,98.09135,98.36319,37.30921,55.63522
583,98.356069,98.1959,37.18991,55.49936
584,98.23157,98.682839,37.58923,55.609759
585,114.07841,112.986809,52.039689,55.40399
586,98.82313,231.662299,37.80577,158.777759
587,96.50208,190.50972,38.63968,108.70215
588,89.92272,340.912538,29.37675,306.849768
589,92.15993,341.521168,29.26542,307.627338
590,100.701549,149.76504,37.96507,106.18725
591,134.59624,134.247079,72.134609,56.185
592,99.07747,99.609019,37.71687,56.304379
593,124.416069,124.10658,62.07173,56.22253
594,99.47535,99.37304,37.64099,56.12075
595,122.906079,123.57395,61.62115,56.0525
596,99.469759,99.38389,37.58653,56.25922
597,114.299479,113.78985,51.90729,56.22193
598,98.873819,100.63872,37.4136,57.77308
599,113.210269,114.12265,51.67507,56.85795
600,99.530319,200.52127,37.32098,157.67506
601,114.011509,163.98794,51.56427,106.84134
602,100.790009,100.03815,37.3942,57.16551
603,115.340159,115.30893,51.44331,58.27358
604,99.283649,100.01371,36.98098,57.60592
605,113.583939,114.6393,51.42166,57.68524
606,97.62757,97.85399,34.81394,57.57311
607,109.78302,109.67668,47.16626,56.94952
608,98.28594,232.000529,34.99571,157.13566
609,110.17288,160.244969,47.622329,106.85706
610,97.874329,96.84153,34.2428,57.29269
611,109.632429,109.11111,46.68005,56.85367
612,97.30294,98.461629,34.935839,57.77534
