,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
0,68.486702,66.991842,66.991842,66.991842
1,64.499262,66.991842,66.991842,66.991842
2,95.098941,66.991842,66.991842,66.991842
3,95.027003,66.991842,66.991842,66.991842
4,83.665605,66.991842,66.991842,66.991842
5,90.695154,66.991842,66.991842,66.991842
6,85.429693,66.991842,66.991842,66.991842
7,74.119614,66.991842,66.991842,66.991842
8,88.441103,66.991842,66.991842,66.991842
9,89.021926,66.991842,66.991842,66.991842
10,93.046807,66.991842,66.991842,66.991842
11,81.653753,66.991842,66.991842,66.991842
12,78.475159,66.991842,66.991842,66.991842
13,68.965134,66.991842,66.991842,66.991842
14,82.323445,66.991842,66.991842,66.991842
15,84.048219,66.991842,66.991842,66.991842
16,70.586041,66.991842,66.991842,66.991842
17,107.379285,66.991842,66.991842,66.991842
18,69.643743,66.991842,66.991842,66.991842
19,77.790487,66.991842,66.991842,66.991842
20,84.673266,66.991842,66.991842,66.991842
21,77.020013,66.991842,66.991842,66.991842
22,73.864163,66.991842,66.991842,66.991842
23,87.795605,66.991842,66.991842,66.991842
24,77.623753,66.991842,66.991842,66.991842
25,76.9063,66.991842,66.991842,66.991842
26,77.577325,66.991842,66.991842,66.991842
27,94.261609,66.991842,66.991842,66.991842
28,89.746062,66.991842,66.991842,66.991842
29,86.942791,66.991842,66.991842,66.991842
30,92.760017,66.991842,66.991842,66.991842
31,81.924969,66.991842,66.991842,66.991842
32,92.548558,66.991842,66.991842,66.991842
33,87.878461,66.991842,66.991842,66.991842
34,101.256257,66.991842,66.991842,66.991842
35,86.598068,66.991842,66.991842,66.991842
36,83.004981,66.991842,66.991842,66.991842
37,103.747144,66.991842,66.991842,66.991842
38,96.784846,66.991842,66.991842,66.991842
39,72.141572,66.991842,66.991842,66.991842
40,70.495195,66.991842,66.991842,66.991842
41,66.991842,66.991842,66.991842,66.991842
42,69.293372,74.051886,74.051886,74.051886
43,66.233322,74.051886,74.051886,74.051886
44,98.145613,74.051886,74.051886,74.051886
45,103.232653,74.051886,74.051886,74.051886
46,88.619899,74.051886,74.051886,74.051886
47,90.845897,74.051886,74.051886,74.051886
48,77.765591,74.051886,74.051886,74.051886
49,82.324847,74.051886,74.051886,74.051886
50,92.474437,74.051886,74.051886,74.051886
51,88.646366,74.051886,74.051886,74.051886
52,92.710063,74.051886,74.051886,74.051886
53,87.755349,74.051886,74.051886,74.051886
54,78.694011,74.051886,74.051886,74.051886
55,77.414848,74.051886,74.051886,74.051886
56,82.382627,74.051886,74.051886,74.051886
57,84.462921,74.051886,74.051886,74.051886
58,79.096049,74.051886,74.051886,74.051886
59,105.282302,74.051886,74.051886,74.051886
60,70.106015,74.051886,74.051886,74.051886
61,71.959592,74.051886,74.051886,74.051886
62,82.633169,74.051886,74.051886,74.051886
63,71.53505,74.051886,74.051886,74.051886
64,82.185045,74.051886,74.051886,74.051886
65,81.133964,74.051886,74.051886,74.051886
66,76.762721,74.051886,74.051886,74.051886
67,77.197086,74.051886,74.051886,74.051886
68,82.357821,74.051886,74.051886,74.051886
69,93.714837,74.051886,74.051886,74.051886
70,94.902827,74.051886,74.051886,74.051886
71,93.877964,74.051886,74.051886,74.051886
72,92.17346,74.051886,74.051886,74.051886
73,89.66472,74.051886,74.051886,74.051886
74,95.541021,74.051886,74.051886,74.051886
75,94.203509,74.051886,74.051886,74.051886
76,99.34285,74.051886,74.051886,74.051886
77,84.96634,74.051886,74.051886,74.051886
78,91.392156,74.051886,74.051886,74.051886
79,96.905584,74.051886,74.051886,74.051886
80,101.790907,74.051886,74.051886,74.051886
81,73.514252,74.051886,74.051886,74.051886
82,74.141166,74.051886,74.051886,74.051886
83,74.051886,74.051886,74.051886,74.051886
84,68.967579,64.716764,64.716764,64.716764
85,68.168513,64.716764,64.716764,64.716764
86,91.283453,64.716764,64.716764,64.716764
87,95.448676,64.716764,64.716764,64.716764
88,85.005884,64.716764,64.716764,64.716764
89,91.168956,64.716764,64.716764,64.716764
90,77.096451,64.716764,64.716764,64.716764
91,78.617738,64.716764,64.716764,64.716764
92,92.731974,64.716764,64.716764,64.716764
93,84.785799,64.716764,64.716764,64.716764
94,84.024662,64.716764,64.716764,64.716764
95,80.284869,64.716764,64.716764,64.716764
96,77.540074,64.716764,64.716764,64.716764
97,73.181666,64.716764,64.716764,64.716764
98,73.15747,64.716764,64.716764,64.716764
99,80.612208,64.716764,64.716764,64.716764
100,75.792759,64.716764,64.716764,64.716764
101,95.730609,64.716764,64.716764,64.716764
102,72.146574,64.716764,64.716764,64.716764
103,68.534673,64.716764,64.716764,64.716764
104,75.641274,64.716764,64.716764,64.716764
105,68.914939,64.716764,64.716764,64.716764
106,77.298398,64.716764,64.716764,64.716764
107,79.134061,64.716764,64.716764,64.716764
108,69.065003,64.716764,64.716764,64.716764
109,72.726738,64.716764,64.716764,64.716764
110,80.031774,64.716764,64.716764,64.716764
111,90.815009,64.716764,64.716764,64.716764
112,89.161131,64.716764,64.716764,64.716764
113,86.672337,64.716764,64.716764,64.716764
114,91.856973,64.716764,64.716764,64.716764
115,80.461955,64.716764,64.716764,64.716764
116,86.39307,64.716764,64.716764,64.716764
117,86.131054,64.716764,64.716764,64.716764
118,90.986511,64.716764,64.716764,64.716764
119,80.227513,64.716764,64.716764,64.716764
120,81.192711,64.716764,64.716764,64.716764
121,96.978591,64.716764,64.716764,64.716764
122,91.629764,64.716764,64.716764,64.716764
123,63.769736,64.716764,64.716764,64.716764
124,64.802464,64.716764,64.716764,64.716764
125,64.716764,64.716764,64.716764,64.716764
126,66.151018,70.128266,70.128266,70.128266
127,68.898619,70.128266,70.128266,70.128266
128,95.656699,70.128266,70.128266,70.128266
129,94.865999,70.128266,70.128266,70.128266
130,84.331133,70.128266,70.128266,70.128266
131,87.166929,70.128266,70.128266,70.128266
132,81.507385,70.128266,70.128266,70.128266
133,75.505859,70.128266,70.128266,70.128266
134,88.28125,70.128266,70.128266,70.128266
135,84.33547,70.128266,70.128266,70.128266
136,88.472701,70.128266,70.128266,70.128266
137,86.503788,70.128266,70.128266,70.128266
138,73.127192,70.128266,70.128266,70.128266
139,73.447788,70.128266,70.128266,70.128266
140,79.096229,70.128266,70.128266,70.128266
141,80.099291,70.128266,70.128266,70.128266
142,75.6498,70.128266,70.128266,70.128266
143,100.399222,70.128266,70.128266,70.128266
144,70.610026,70.128266,70.128266,70.128266
145,72.842856,70.128266,70.128266,70.128266
146,79.382268,70.128266,70.128266,70.128266
147,72.550707,70.128266,70.128266,70.128266
148,79.106789,70.128266,70.128266,70.128266
149,82.227154,70.128266,70.128266,70.128266
150,73.73623,70.128266,70.128266,70.128266
